name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Hroza Libor,CZE,1,5.800,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Dzienski Marcin,POL,2,5.950,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Mawem Bassa,FRA,3,6.000,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Zhong QiXin,CHN,4,6.090,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Boldyrev Danyil,UKR,5,6.140,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Vaitsekhovskii Evgenii,RUS,5,6.140,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Nambot Quentin,FRA,7,6.260,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Alipourshenazandifar Reza,IRI,8,6.300,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Gontero Leonardo,ITA,9,6.310,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
Kokorin Stanislav,RUS,9,6.310,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Speed,Men,Qualification,2014-07-10,/api/v1/category_rounds/3058/results,/api/v1/events/857/result/2
