name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Verhoeven Jorg,NED,10,2t3 3b9,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,7,X,X,2,1,1,1,X,X,2014-08-21_Munich_Boulder_Men_Qualification.csv
Bonder Jeremy,FRA,11,2t4 4b6,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,1,1,3,3,X,1,X,1,X,X,2014-08-21_Munich_Boulder_Men_Qualification.csv
Gelmanov Rustam,RUS,11,2t4 4b6,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,2,2,X,X,2,1,X,1,X,2,2014-08-21_Munich_Boulder_Men_Qualification.csv
Novitskiy Yury,RUS,11,3t6 4b8,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,3,2,X,3,X,X,1,1,2,2,2014-08-21_Munich_Boulder_Men_Qualification.csv
Heiniger Kevin,SUI,12,3t8 4b7,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,2,2,X,2,X,X,5,2,1,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Andersson Daniel,SWE,13,2t4 3b5,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,3,1,X,X,1,1,X,3,X,X,2014-08-21_Munich_Boulder_Men_Qualification.csv
Timonov Vadim,RUS,13,2t4 5b14,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,9,X,2,1,1,3,1,X,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Burns Dominic,IRL,14,2t4 2b2,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,1,1,X,X,3,1,X,X,X,X,2014-08-21_Munich_Boulder_Men_Qualification.csv
Fujii Kokoro,JPN,14,2t4 4b4,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,X,X,1,2,1,2,1,X,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Blaser Benjamin,SUI,15,2t5 5b11,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,1,X,5,4,1,1,1,X,3,2014-08-21_Munich_Boulder_Men_Qualification.csv
