name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Noguchi Akiyo,JPN,1,4t6 4b5,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,2,2,1,1,1,1,2,1
Mascarenas Megan,USA,2,3t3 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,1,1,1,1,1,1,X,1
Stöhr Anna,AUT,3,3t3 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,1,1,1,1,1,1,X,1
Gibert Fanny,FRA,4,3t3 4b9,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,1,1,X,6,1,1,1,1
Thévenet Marine,FRA,5,3t5 4b5,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,2,1,2,2,1,1,X,1
Coxsey Shauna,GBR,6,3t5 4b8,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,1,1,X,4,1,1,3,2
Wurm Juliane,GER,7,3t5 4b8,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,2,1,X,5,1,1,2,1
Payne Angela,USA,8,3t6 4b6,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,2,1,1,1,3,2,X,2
Saurwein Katharina,AUT,9,3t6 3b5,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,2,2,X,X,1,1,3,2
Puccio Alex,USA,10,3t7 3b5,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,1,1,3,3,X,X,3,1
Nonaka Miho,JPN,11,3t8 4b9,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,2,1,5,5,1,1,X,2
Retschy Monika,GER,12,2t2 4b8,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,1,1,X,4,1,1,X,2
Zijlstra Vera,NED,13,1t1 3b11,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,1,1,X,6,X,X,X,4
Le Neve Melissa,FRA,14,1t2 4b7,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,X,2,2,2,X,2,X,1
Onoe Aya,JPN,15,1t2 3b7,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,2,2,X,X,X,3,X,2
Martin Meagan,USA,16,1t3 4b10,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,3,1,X,3,X,3,X,3
Durif Charlotte,FRA,17,1t4 4b13,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,4,2,X,7,X,3,X,1
Hayes Margo,USA,18,0t 2b3,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,X,X,X,X,X,1,X,2
Miller Delaney,USA,19,0t 2b4,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,X,2,X,X,X,X,X,2
Asher Elizabeth,USA,20,0t 2b5,IFSC Climbing Worldcup (B) - Vail (USA) 2014,854,2014,Vail,Boulder,Women,Semi-Final,2014-06-06,/api/v1/category_rounds/3023/results,/api/v1/events/854/result/7,X,X,X,3,X,X,X,2
