name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Stöhr Anna,AUT,1,4t6 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,1,1,1,1,2,2,2,1
Puccio Alex,USA,2,4t7 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,2,1,3,2,1,1,1,1
Wurm Juliane,GER,3,4t8 4b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,1,1,1,1,2,2,4,2
Noguchi Akiyo,JPN,4,3t4 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,X,1,1,1,2,2,1,1
Coxsey Shauna,GBR,5,3t6 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,1,1,1,1,4,4,X,1
Thévenet Marine,FRA,6,3t14 3b8,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,7,1,2,2,5,5,X,X
Gibert Fanny,FRA,7,3t15 4b19,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,4,4,1,1,10,10,X,4
Klingler Petra,SUI,8,2t2 4b8,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,X,4,1,1,1,1,X,2
Abramchuk Yulia,RUS,9,2t7 4b13,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,X,5,1,1,6,6,X,1
Oda Momoka,JPN,10,2t7 4b14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,X,6,2,2,5,5,X,1
Gallyamova Anna,RUS,11,2t8 4b16,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,X,6,1,1,7,7,X,2
Onoe Aya,JPN,12,2t10 4b15,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Boulder,Women,Semi-Final,2014-04-26,/api/v1/category_rounds/2985/results,/api/v1/events/849/result/7,X,7,5,2,5,5,X,1
