name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
Watson Samuel,USA,1,4.79 (WR) (PaR),IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,4.798,4.859,2024-04-12_Wujiang_Speed_Men_Qualification.csv
WU PENG,CHN,2,4.90,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,4.902,5.013,2024-04-12_Wujiang_Speed_Men_Qualification.csv
CAO LONG,CHN,3,5.082,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,5.082,5.113,2024-04-12_Wujiang_Speed_Men_Qualification.csv
KATIBIN KIROMAL,INA,4,5.086,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,6.22,5.086,2024-04-12_Wujiang_Speed_Men_Qualification.csv
Zurloni Matteo,ITA,5,5.09,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,5.097,5.22,2024-04-12_Wujiang_Speed_Men_Qualification.csv
ZHANG LIANG,CHN,6,5.12,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,5.12,6.727,2024-04-12_Wujiang_Speed_Men_Qualification.csv
LEONARDO VEDDRIQ,INA,7,5.14,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,DNF,5.143,2024-04-12_Wujiang_Speed_Men_Qualification.csv
WANG XINSHANG,CHN,8,5.15,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,5.15,5.25,2024-04-12_Wujiang_Speed_Men_Qualification.csv
Alipour Shenazandifard Reza,IRI,9,5.16,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,5.173,5.166,2024-04-12_Wujiang_Speed_Men_Qualification.csv
LONG JIANGUO,CHN,10,5.17,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,DNF,5.176,2024-04-12_Wujiang_Speed_Men_Qualification.csv
Khaibullin Rishat,KAZ,11,5.18,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,5.188,5.231,2024-04-12_Wujiang_Speed_Men_Qualification.csv
Brosler John,USA,12,5.20,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2,DNF,5.206,2024-04-12_Wujiang_Speed_Men_Qualification.csv
