name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
Watson Samuel,USA,1,4.99,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,4.996,5.362,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Tkach Yaroslav,UKR,2,5.19,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.197,5.488,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Hammer Zach,USA,3,5.24,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.245,6.325,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Zurloni Matteo,ITA,4,5.26,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.318,5.268,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
ALTYNBEKOV Beknur,KAZ,5,5.30,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.307,DNF,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
HUANG JINGJIE,CHN,6,5.33,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.362,5.337,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Lin YU,CHN,7,5.34,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,DNF,5.343,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
ERNSBERGER Merritt,USA,8,5.41,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,7.348,5.417,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Brosler John,USA,9,5.44,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.442,8.687,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
ZHANG DINGFENG,CHN,10,5.45,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.481,5.45,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Bratschi Noah,USA,11,5.482,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.482,6.472,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
TANII Kazuki,JPN,12,5.487,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.487,5.724,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Pavlenko Kostiantyn,UKR,13,5.51,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.608,5.511,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
CHU SHOUHONG,CHN,14,5.52,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,DNF,5.527,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Amon Kevin,AUT,15,5.553,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.209,5.553,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
TOKTAROV Damir,KAZ,16,5.557,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.557,5.724,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
HOM Michael,USA,17,5.60,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,7.017,5.609,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Pitcher Ethan,CAN,18,5.70,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.836,5.707,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
FUJINO Shuto,JPN,19,5.71,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.716,7.322,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
Robbiati Luca,ITA,20,5.77,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.848,5.772,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
YESSIPOV Matvey,KAZ,21,5.78,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.903,5.78,2024-05-03_Salt Lake CIty_Speed_Men_Qualification.csv
