name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
SALLSABILLAH Rajiah,INA,1,6.59,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,6.599,6.708,2024-10-02_Seoul_Speed_Women_Qualification.csv
ZHOU Yafei,CHN,2,6.77,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,6.772,6.827,2024-10-02_Seoul_Speed_Women_Qualification.csv
JEONG Jimin,KOR,3,6.78,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.229,6.782,2024-10-02_Seoul_Speed_Women_Qualification.csv
DENG Lijuan,CHN,4,6.96,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.078,6.961,2024-10-02_Seoul_Speed_Women_Qualification.csv
ZHANG Shaoqin,CHN,5,6.97,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,6.977,DNF,2024-10-02_Seoul_Speed_Women_Qualification.csv
WANG Shengyan,CHN,6,6.99,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,6.994,7.691,2024-10-02_Seoul_Speed_Women_Qualification.csv
IQAMAH Nurul,INA,7,7.25,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.253,7.918,2024-10-02_Seoul_Speed_Women_Qualification.csv
VER KHADIJAH Alivany,INA,8,7.38,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.441,7.389,2024-10-02_Seoul_Speed_Women_Qualification.csv
NURHIDAYAH Susan,INA,9,7.39,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.792,7.394,2024-10-02_Seoul_Speed_Women_Qualification.csv
ULZHABAYEVA Tamara,KAZ,10,7.44,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.445,10.337,2024-10-02_Seoul_Speed_Women_Qualification.csv
CURCIO Sophia,USA,11,7.48,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.485,7.588,2024-10-02_Seoul_Speed_Women_Qualification.csv
HAYASHI Karin,JPN,12,7.57,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.681,7.573,2024-10-02_Seoul_Speed_Women_Qualification.csv
LESTARI Puja,INA,13,7.584,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.584,7.794,2024-10-02_Seoul_Speed_Women_Qualification.csv
SUNG Hanareum,KOR,14,7.588,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,7.588,7.81,2024-10-02_Seoul_Speed_Women_Qualification.csv
HWANG Jimin,KOR,15,7.97,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.331,7.973,2024-10-02_Seoul_Speed_Women_Qualification.csv
KOYAMATSU Ren,JPN,16,8.15,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,9.551,8.158,2024-10-02_Seoul_Speed_Women_Qualification.csv
KOCH Julia,GER,17,8.16,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.16,8.28,2024-10-02_Seoul_Speed_Women_Qualification.csv
NOH Heeju,KOR,18,8.29,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.295,13.139,2024-10-02_Seoul_Speed_Women_Qualification.csv
KAWAKAMI Fumika,JPN,19,8.31,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.311,8.362,2024-10-02_Seoul_Speed_Women_Qualification.csv
YUN Dasom,KOR,20,8.37,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,DNF,8.372,2024-10-02_Seoul_Speed_Women_Qualification.csv
KELLY Piper,USA,21,8.38,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.386,8.878,2024-10-02_Seoul_Speed_Women_Qualification.csv
CHA Youjin,KOR,22,8.64,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,9.517,8.649,2024-10-02_Seoul_Speed_Women_Qualification.csv
TETZLAFF Sarah,NZL,23,8.73,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.733,11.037,2024-10-02_Seoul_Speed_Women_Qualification.csv
GEBERT Abby,NZL,24,8.85,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.907,8.858,2024-10-02_Seoul_Speed_Women_Qualification.csv
CHOI Nawoo,KOR,25,8.91,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,8.912,8.967,2024-10-02_Seoul_Speed_Women_Qualification.csv
TAN Eilin,SGP,26,9.12,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,9.12,9.178,2024-10-02_Seoul_Speed_Women_Qualification.csv
FIORIO Agnese,ITA,27,9.60,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,DNF,9.602,2024-10-02_Seoul_Speed_Women_Qualification.csv
ROTHFORK Isis,USA,28,9.67,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,9.676,13.005,2024-10-02_Seoul_Speed_Women_Qualification.csv
YANG Heesu,KOR,29,9.75,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,9.754,10.023,2024-10-02_Seoul_Speed_Women_Qualification.csv
LAM Cho Wing Jasmiki,HKG,30,10.29,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,17.559,10.296,2024-10-02_Seoul_Speed_Women_Qualification.csv
OATES Tegwen,RSA,31,11.52,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,11.597,11.523,2024-10-02_Seoul_Speed_Women_Qualification.csv
MADE RITA KUSUMA DEWI Desak,INA,32,FALSE START,IFSC World Cup Seoul 2024,1361,2024,Seoul,Speed,Women,Qualification,2024-10-02,/api/v1/category_rounds/8533/results,/api/v1/events/1361/result/6,DNS,DNS,2024-10-02_Seoul_Speed_Women_Qualification.csv
