name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
KIM Jain,KOR,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
KOTAKE Mei,JPN,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
MORI Ai,JPN,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
PILZ Jessica,AUT,1,5.0,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,TOP,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
TOTKOVA Aleksandra,BUL,5,7.75,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,42,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
PÖTZI Mattea,AUT,6,8.37,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,41+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
KRAMPL Mia,SLO,7,9.49,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,39+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
AVEZOU Zélia,FRA,8,11.29,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,42+,43+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
KOBETS Anastasiia,UKR,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
LUKAN Vita,SLO,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
Sanders Anastasia,USA,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
TAKAO Tomona,JPN,9,11.62,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
EGLI Liv,SUI,13,13.6,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
ODA Natsumi,JPN,14,14.14,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,35+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
Mackenzie Oceania,AUS,15,14.66,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,34+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
COPAR Sara,SLO,16,15.65,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,33+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
POUGET Camille,FRA,16,15.65,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,33+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
PLASSOUX DJIGA Ina,FRA,18,16.73,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,31+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
JANICOT Hélène,FRA,19,16.84,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,46+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
TANII Natsuki,JPN,19,16.84,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,46+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
DOUMONT Heloïse,BEL,21,18.55,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,43+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
KIM Juha,KOR,22,18.57,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,28+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
OBLASSER Flora,AUT,23,19.6,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,40+,35,2024-07-12_Chamonix_Lead_Women_Qualification.csv
TARKUS Lucija,SLO,24,21.72,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36,43+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
NAKAMURA Mao,JPN,25,22.05,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,36+,38+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
VAN DER MEER Lynn,NED,26,23.24,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,12+,TOP,2024-07-12_Chamonix_Lead_Women_Qualification.csv
FRANGOS Rebecca,CAN,27,25.38,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,31+,44,2024-07-12_Chamonix_Lead_Women_Qualification.csv
MIYAJIMA Momoka,JPN,28,26.92,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,28+,46+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
Rekar Rosa,SLO,29,27.24,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,34+,41+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
MACIÀ MARTÍN Geila,ESP,30,27.34,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,33+,42+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
Clark Adriene Akiko,USA,31,30.71,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,33+,38,2024-07-12_Chamonix_Lead_Women_Qualification.csv
SKUSEK Lana,SLO,32,33.14,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,28,42+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
Costanza Melina,USA,33,33.59,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,27+,42+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
OH Gayeong,KOR,34,35.64,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,23+,42,2024-07-12_Chamonix_Lead_Women_Qualification.csv
KREMER Valeri,ISR,35,35.65,IFSC World Cup Chamonix 2024,1357,2024,Chamonix,Lead,Women,Qualification,2024-07-12,/api/v1/category_rounds/8519/results,/api/v1/events/1357/result/5,30+,36+,2024-07-12_Chamonix_Lead_Women_Qualification.csv
