name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Abdrakhmanov Sergey,,1,7.17,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,True,6.89,True,6.86,True,7.17,,
Zhang Yuhang,,2,7.82,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,True,7.94,True,7.53,False,7.82,,
Vaitsekhovskii Evgenii,,3,6.64,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,True,7.23,False,8.18,,,True,6.64
Kokorin Stanislav,,4,13.94,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,True,7.31,False,7.76,,,False,13.94
Hroza Libor,,5,7.34,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,False,7.34,,,,,,
Sinitcyn Sergei,,6,7.59,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,False,7.59,,,,,,
ZHANG Ning,,7,11.80,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,False,11.8,,,,,,
Zhong QiXin,,8,FALL,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2,False,FALL,,,,,,
