name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Croxall Mark,GBR,23,4t15 5b11,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
DU LAC Daniel,FRA,24,3t3 6b6,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Preti Lucas,ITA,25,3t3 6b10,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Stepanov Alexander,RUS,26,3t3 5b5,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Rant Blaz,SLO,27,3t3 5b6,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Pekarev Mikhail,RUS,28,3t5 6b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Shalagin Mykhaylo,UKR,29,3t6 5b5,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Oleksy Tomasz,POL,30,3t9 5b6,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Karolak Grzegorz,POL,31,3t9 4b8,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Lalov Boyko,BUL,32,3t10 6b11,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Okano Hiroshi,JPN,33,2t2 6b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Klancnik Rok,SLO,34,2t2 6b11,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Lai Chi-Wai,HKG,35,2t2 5b5,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Portsev Aleksei,RUS,36,2t2 5b8,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Radkov Ivaylo,BUL,37,2t2 5b9,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Baumann Jonas,GER,38,2t3 6b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Pavel Gabriel,ROU,39,2t3 5b13,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Watanabe Kazuma,JPN,40,2t4 6b8,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Batir Oliver,ROU,41,2t4 5b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Georgiev Marian,BUL,41,2t4 5b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Ramsamy Joackym,FRA,43,2t6 4b4,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Bugneru Marian,ROU,44,2t6 4b11,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Cehovin Urh,SLO,45,1t1 6b10,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Caleyron Thomas,FRA,46,1t1 6b11,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Schulte Ferdinand,NED,46,1t1 6b11,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Nutu Andrei,ROU,48,1t1 4b7,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Miu Claudiu,ROU,49,1t1 3b3,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Kolokas Ioannis,GRE,50,1t1 2b2,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Samyn Florent,FRA,50,1t1 2b2,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Edwards Marc,AUS,52,1t3 5b8,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Gore Tom,GBR,53,0t 4b12,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Kamaropoulos Zafeiris,GRE,54,0t 2b4,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Petrovski Dejan,MKD,55,0t 1b1,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
Ristovski Ilija,MKD,56,0t 1b2,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,470,2007,Sofia,Boulder,Men,Qualification,2007-04-20,/api/v1/category_rounds/604/results,/api/v1/events/470/result/3,2007-04-20_Sofia_Boulder_Men_Qualification.csv
