name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Ruyga Tatiana,RUS,1,30.370,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Stenkovaya Anna,RUS,2,fall,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Yurina Valentina,RUS,3,32.450,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
He Cuifang,CHN,4,fall,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Li Chunhua,CHN,5,33.240,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
He CuiLian,CHN,6,34.290,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Ropek Edyta,POL,7,34.320,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Zhang Dan,CHN,8,44.430,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
peng huanmiao,CHN,9,37.480,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Cheng Lai-Sho,HKG,10,40.760,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Chereshneva Yana,RUS,11,40.850,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Li Xuqing,CHN,12,48.860,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Soltaninejad Sajedeh,IRI,13,51.230,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Malamid Evgeniia,RUS,14,51.320,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Caprez Nina,SUI,15,52.400,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
Saurwein Katharina,AUT,16,99.990,IFSC Climbing Worldcup (L+S) - Qinghai (CHN) 2007,480,2007,Qinghai,Speed,Women,Final,2007-08-11,/api/v1/category_rounds/665/results,/api/v1/events/480/result/6
