name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Pötzi Mattea,AUT,23.0,21.92,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,26+,29+,2022-09-02_Koper_Lead_Women_Qualification.csv
Gejo Stasa,SRB,24.0,23.12,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,24+,29+,2022-09-02_Koper_Lead_Women_Qualification.csv
Skusek Lana,SLO,25.0,24.25,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,28+,25+,2022-09-02_Koper_Lead_Women_Qualification.csv
Ito Futaba,JPN,26.0,24.82,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,31+,8+,2022-09-02_Koper_Lead_Women_Qualification.csv
Ghisolfi Claudia,ITA,27.0,25.22,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,28,25+,2022-09-02_Koper_Lead_Women_Qualification.csv
Condie Kyra,USA,28.0,25.72,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,28+,23+,2022-09-02_Koper_Lead_Women_Qualification.csv
Ota Risa,JPN,29.0,26.53,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,31,8+,2022-09-02_Koper_Lead_Women_Qualification.csv
Moroni Camilla,ITA,30.0,27.22,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,30,13+,2022-09-02_Koper_Lead_Women_Qualification.csv
KAKIZAKI Miu,JPN,31.0,29.6,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,23+,25+,2022-09-02_Koper_Lead_Women_Qualification.csv
Wienand Roxana,GER,32.0,32.5,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,25+,22,2022-09-02_Koper_Lead_Women_Qualification.csv
Lettner Sandra,AUT,33.0,32.53,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,27,20+,2022-09-02_Koper_Lead_Women_Qualification.csv
Kremer Valeri,ISR,34.0,35.14,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,23,22,2022-09-02_Koper_Lead_Women_Qualification.csv
Caulier Chloe,BEL,35.0,35.72,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,27,8+,2022-09-02_Koper_Lead_Women_Qualification.csv
Slemensek Tjasa,SLO,35.0,35.72,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,27,8+,2022-09-02_Koper_Lead_Women_Qualification.csv
Hulliger Michelle,SUI,37.0,36.12,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,21+,22+,2022-09-02_Koper_Lead_Women_Qualification.csv
Shiran Noa,ISR,37.0,36.12,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,21+,22+,2022-09-02_Koper_Lead_Women_Qualification.csv
Ma Olivia,USA,39.0,37.15,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,22+,21+,2022-09-02_Koper_Lead_Women_Qualification.csv
Koller Anne-Sophie,SUI,40.0,37.55,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,19+,22+,2022-09-02_Koper_Lead_Women_Qualification.csv
Atkins Käthe,GER,41.0,38.74,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,21+,21+,2022-09-02_Koper_Lead_Women_Qualification.csv
Mason Quinn,USA,42.0,39.85,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,21+,20+,2022-09-02_Koper_Lead_Women_Qualification.csv
Demmel Martina,GER,43.0,41.74,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,24+,6+,2022-09-02_Koper_Lead_Women_Qualification.csv
Scolaris Ilaria,ITA,44.0,41.95,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,22+,8+,2022-09-02_Koper_Lead_Women_Qualification.csv
Wood Jennifer,GBR,45.0,42.36,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,20+,13+,2022-09-02_Koper_Lead_Women_Qualification.csv
Fiser Julia,AUT,46.0,42.93,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,23+,6+,2022-09-02_Koper_Lead_Women_Qualification.csv
Cameron Thea,GBR,47.0,43.49,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,19,13+,2022-09-02_Koper_Lead_Women_Qualification.csv
Siruckova Tereza,CZE,48.0,44.27,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,22+,7,2022-09-02_Koper_Lead_Women_Qualification.csv
Neame Joanna,GBR,49.0,46.9,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,18+,8+,2022-09-02_Koper_Lead_Women_Qualification.csv
Marjanovic Milica,SRB,50.0,47.37,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,14+,8+,2022-09-02_Koper_Lead_Women_Qualification.csv
Magalhaes de Castro  Bianca,BRA,51.0,48.25,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,19,7+,2022-09-02_Koper_Lead_Women_Qualification.csv
Frangos Rebecca,CAN,,DNS,IFSC - Climbing World Cup (L) - Koper (SLO) 2022,1242,2022,Koper,Lead,Women,Qualification,2022-09-02,/api/v1/category_rounds/6873/results,/api/v1/events/1242/result/5,DNS,DNS,2022-09-02_Koper_Lead_Women_Qualification.csv
