name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B,source_file
DENG LIJUAN,CHN,1,6.74 (AsR),"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,6.749,6.765,2022-07-08_Chamonix_Speed_Women_Qualification.csv
SALLSABILLAH RAJIAH,INA,2,6.85,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,6.922,6.855,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Kalucka Aleksandra,POL,3,6.87,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,10.107,6.87,2022-07-08_Chamonix_Speed_Women_Qualification.csv
MADE RITA KUSUMA DEWI DESAK,INA,4,7.02,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.021,7.414,2022-07-08_Chamonix_Speed_Women_Qualification.csv
XIE GUIZHEN,CHN,5,7.05,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.343,7.051,2022-07-08_Chamonix_Speed_Women_Qualification.csv
NIU DI,CHN,6,7.09,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.094,11.075,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Kalucka Natalia,POL,7,7.15,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.155,7.177,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Sarisson Aurelia,FRA,8,7.19,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.199,8.043,2022-07-08_Chamonix_Speed_Women_Qualification.csv
IQAMAH NURUL,INA,9,7.22,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.482,7.223,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Viglione Capucine,FRA,10,7.321,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.321,7.35,2022-07-08_Chamonix_Speed_Women_Qualification.csv
XIE YUFANG,CHN,11,7.324,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.324,DNF,2022-07-08_Chamonix_Speed_Women_Qualification.csv
JEONG JIMIN,KOR,12,7.39,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.39,9.58,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Chudziak Patrycja,POL,13,7.41,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.436,7.413,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Colli Beatrice,ITA,14,7.65,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,DNF,7.657,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Andrier Victoire,FRA,15,7.70,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.709,8.473,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Rojas Andrea,ECU,16,7.73,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.736,7.812,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Darabian Mahya,IRI,17,7.86,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,9.286,7.869,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Randi  Giulia,ITA,18,7.87,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.257,7.877,2022-07-08_Chamonix_Speed_Women_Qualification.csv
HAYASHI Karin,JPN,19,7.92,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.038,7.921,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Ver Khadijah Alivany,INA,20,7.96,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.112,7.968,2022-07-08_Chamonix_Speed_Women_Qualification.csv
NI MINGWEI,CHN,21,7.99,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,7.996,8.047,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Martínez Vidal Carla,ESP,22,8.08,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.433,8.086,2022-07-08_Chamonix_Speed_Women_Qualification.csv
TAKEUCHI Ai,JPN,23,8.13,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,9.028,8.13,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Velev Erica,CAN,24,8.15,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.152,10.811,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Kelly Piper,USA,25,8.16,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.164,8.263,2022-07-08_Chamonix_Speed_Women_Qualification.csv
HAYASHI Natsumi,JPN,26,8.20,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.734,8.204,2022-07-08_Chamonix_Speed_Women_Qualification.csv
KAWAKAMI Fumika,JPN,27,8.27,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,8.273,12.169,2022-07-08_Chamonix_Speed_Women_Qualification.csv
Koch Julia,GER,28,8.37,"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1240,2022,Chamonix,Speed,Women,Qualification,2022-07-08,/api/v1/category_rounds/6869/results,/api/v1/events/1240/result/6,9.358,8.373,2022-07-08_Chamonix_Speed_Women_Qualification.csv
