name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Schubert Jakob,AUT,1.0,2.0,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,43+,TOP
Megos Alexander,GER,1.0,2.0,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,35,30+
Duffy Colin,USA,3.0,2.83,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,43,TOP
Flohé Yannick,GER,3.0,3.24,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,37+,24
YURIKUSA Ao,JPN,5.0,3.74,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,42+,TOP
Potocar Luka,SLO,5.0,4.3,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,27,33+
Ogata Yoshiyuki,JPN,7.0,4.69,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,41+,TOP
Bailey Sean,USA,7.0,4.5,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,33+,27
HOMMA Taisei,JPN,9.0,5.29,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,42+,45
GEFFROY Romaric,FRA,9.0,6.18,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,33+,24+
Ghisolfi Stefano,ITA,11.0,5.66,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,40+,TOP
Grupper Jesse,USA,11.0,5.66,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,40+,TOP
Schenk Filip,ITA,11.0,6.54,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,30+,27
Puman Hannes,SWE,14.0,6.87,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,33+,24
McArthur Hamish,GBR,15.0,7.75,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,35,TOP
Vogt Dimitri,SUI,15.0,6.93,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,27+,27+
Placci Giovanni,ITA,17.0,8.72,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,40+,44+
YOSHIDA Satone,JPN,17.0,10.28,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,33+,23+
Lehmann Sascha,SUI,19.0,9.75,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",1238,2022,Innsbruck,Lead,Men,Qualification,2022-06-22,/api/v1/category_rounds/6860/results,/api/v1/events/1238/result/1,36+,44+
