name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B,source_file
Miroslaw Aleksandra,POL,1,6.53 (WR) (ER),"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,6.534,6.682,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Kalucka Aleksandra,POL,2,7.04,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.046,7.441,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
HUNT Emma,USA,3,7.05 (PaR),"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.053,7.174,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Kalucka Natalia,POL,4,7.16,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.326,7.167,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Randi  Giulia,ITA,5,7.58,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.731,7.585,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Colli Beatrice,ITA,6,7.60,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.601,8.654,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Chudziak Patrycja,POL,7,7.66,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.666,7.906,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
HAYASHI Karin,JPN,8,7.70,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,8.11,7.701,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Viglione Capucine,FRA,9,7.78,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.783,7.805,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Ritter Franziska,GER,10,7.86,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.861,8.731,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
Rojas Andrea,ECU,11,7.93,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1237,2022,Salt Lake City,Speed,Women,Qualification,2022-05-27,/api/v1/category_rounds/6857/results,/api/v1/events/1237/result/6,7.932,9.058,2022-05-27_Salt Lake City_Speed_Women_Qualification.csv
