name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Caulier Chloe,BEL,23,3T5z 7 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,X,1,3,1,2,2,X,4
Debevec Katja,SLO,23,3T4z 8 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,2,2,5,3,1,1
Rogora Laura,ITA,25,2T5z 3 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,2,2,X,1,X,2,1,1
Mason Quinn,USA,25,3T5z 11 13,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,X,1,X,5,4,4,5,2
Calliet Agathe,FRA,25,3T5z 11 13,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,3,1,X,2,X,3,6,6
SA SOL,KOR,28,2T5z 3 11,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,1,1,2,1,X,7,X,1
Cullen Kylie,USA,29,3T5z 13 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,1,4,2,5,1,4,1
Yokoyama Sofya,SUI,29,2T5z 8 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,4,1,X,7,X,1,4,4,X,1
Clark Adriene,USA,31,2T4z 2 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,X,X,X,1,X,11,1,1
Totkova Aleksandra,BUL,31,3T4z 9 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,X,7,X,X,4,3,3,3
Slaney Hannah,GBR,33,2T5z 4 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,1,X,1,2,2,2,1
Taub Yael,ISR,33,2T4z 4 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,3,1,1,1,X,6,X,1
Yip Alannah,CAN,35,2T5z 4 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,X,2,X,2,X,1,3,1
Lettner Sandra,AUT,35,1T5z 3 17,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,6,X,6,3,1,X,3,X,1
Aguado Valentina,ARG,37,2T5z 5 16,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,4,1,X,8,X,3,1,1,X,3
Hammelmüller Eva Maria,AUT,37,1T4z 2 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,1,2,1,X,2
Fischer Madison,CAN,39,2T5z 7 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,1,X,2,4,1,3,1
KOIKE Hana,JPN,39,1T4z 2 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,1,X,2,2,2
Wienand Roxana,GER,41,1T4z 3 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,3,1,X,X,X,1,X,4,X,1
Papetti Federica,ITA,41,2T4z 3 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,X,5,X,2,X,X,1,1
Cohaut Flavy,FRA,43,2T4z 4 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,X,1,X,X,X,6,3,1
Kikuchi Saki,JPN,43,1T4z 7 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,1,7,4,X,1
Daziano Irina,ITA,45,2T4z 5 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,11,4,1,X,X,1,1
Pérez Duato Rebeca,ESP,45,1T3z 2 9,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,2,1,X,7,X,1
Madere Maya,USA,47,2T3z 2 3,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,X,1,X,X,1,1,X,X
Becerra Rocio Ailen,ARG,47,1T2z 6 13,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,6,5,X,X,X,X,X,8
Hayes Tara,GBR,49,0T4z 0 4,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,1,X,1,X,1
Medici Giulia,ITA,49,1T5z 2 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,2,1,X,1,X,3,X,6,X,3
Lochner Leonie,GER,51,0T4z 0 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,1,X,1,X,2
Dreamer Maya,ISR,51,1T5z 3 25,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,3,1,X,3,X,2,X,6,X,13
Wood Jennifer,GBR,53,1T5z 4 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,7,X,1,X,4,4,1
Torres Illamola Aida,ESP,53,0T4z 0 8,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,2,X,1,X,4
Hönig Afra,GER,55,1T4z 1 12,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,1,1,X,5,X,X,X,3,X,3
Boklaschuk Paige,CAN,55,0T4z 0 10,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,2,X,X,X,2,X,2,X,4
Lee Hung Ying,TPE,57,1T4z 3 7,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,1,X,X,3,3,X,2
XIANG HONGCHUN,CHN,57,0T4z 0 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,2,X,X,X,3,X,7,X,2
Zhang YUETONG,CHN,59,1T4z 5 10,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,1,X,X,X,4,5,4
Bärtschi Natalie,SUI,59,0T3z 0 4,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,X,1,X,1,X,2
Zakharova Margaryta,UKR,61,0T3z 0 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,X,2,X,1,X,2
Matuella Francesca,ITA,61,0T3z 0 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,X,X,1,X,3
Fogu Miriam,ITA,61,0T4z 0 11,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,4,X,1,X,X,X,5
