name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Grossman Natalia,USA,1,4T4z 10 10,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,1,1,6,6,1,1,2,2,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Moroni Camilla,ITA,2,4T4z 18 15,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,3,3,9,8,2,2,4,2,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
AOYAGI Mia,JPN,3,3T4z 8 12,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,3,3,2,2,3,3,X,4,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Raboutou Brooke,USA,4,3T4z 11 10,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,4,3,X,2,3,1,4,4,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Bertone Oriane,FRA,5,3T3z 5 5,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,1,1,1,1,X,X,3,3,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Gejo Stasa,SRB,6,3T3z 8 7,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,3,3,4,3,X,X,1,1,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Pilz Jessica,AUT,7,2T4z 6 10,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,2,2,4,4,X,1,X,3,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Nonaka Miho,JPN,8,2T3z 4 6,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,1,1,X,X,X,3,3,2,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Cohaut Flavy,FRA,9,2T3z 11 13,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,5,5,X,4,X,X,6,4,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Coscoy Cloe,USA,10,2T2z 5 5,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,2,2,X,X,X,X,3,3,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Cullen Kylie,USA,11,2T2z 8 6,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,4,2,X,X,X,X,4,4,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Rakovec Lucka,SLO,12,2T2z 9 9,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,4,4,X,X,X,X,5,5,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
SA SOL,KOR,13,1T4z 2 14,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,2,2,X,5,X,2,X,5,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Sterrer Franziska,AUT,14,1T3z 1 17,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,1,1,X,7,X,X,X,9,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Ito Futaba,JPN,15,1T2z 1 3,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,1,1,X,X,X,X,X,2,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Yokoyama Sofya,SUI,16,1T2z 1 11,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,1,1,X,X,X,X,X,10,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Wienand Roxana,GER,17,1T2z 2 4,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,2,1,X,X,X,X,X,3,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
Phillips Emily,GBR,18,0T2z 0 7,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1235,2022,Seoul,Boulder,Women,Semi-final,2022-05-06,/api/v1/category_rounds/7424/results,/api/v1/events/1235/result/7,X,4,X,X,X,X,X,3,2022-05-06_Seoul_Boulder_Women_Semi-final.csv
