name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Kalucka Aleksandra,POL,1,7.47,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.074,True,6.939,True,6.834,True,7.474,,
Kalucka Natalia,POL,2,FALL,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.347,True,7.083,True,7.249,False,FALL,,
HUNT Emma,USA,3,7.28,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.063,True,6.881,False,6.842,,,True,7.283
Randi  Giulia,ITA,4,7.63,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.502,True,8.388,False,10.087,,,False,7.637
Chudziak Patrycja,POL,5,8.71,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.656,False,8.716,,,,,,
NIU DI,CHN,6,FALL,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.658,False,FALL,,,,,,
XIE YUFANG,CHN,6,10.41,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.786,False,10.413,,,,,,
Brozek Anna,POL,8,9.11,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,True,7.612,False,9.117,,,,,,
DENG LIJUAN,CHN,9,7.72,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,7.725,,,,,,,,
WANG SHENGYAN,CHN,10,7.57,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,7.573,,,,,,,,
Sarisson Aurelia,FRA,11,8.82,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,8.826,,,,,,,,
Viglione Capucine,FRA,12,7.80,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,7.807,,,,,,,,
Colli Beatrice,ITA,13,7.76,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,7.763,,,,,,,,
Ulzhabayeva Tamara,KAZ,14,8.01,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,8.019,,,,,,,,
XIE GUIZHEN,CHN,15,8.11,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,8.114,,,,,,,,
Bellesini Sofia,ITA,16,8.16,"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1288,2022,Edinburgh,Speed,Women,Final,2022-09-09,/api/v1/category_rounds/7652/results,/api/v1/events/1288/result/6,False,8.163,,,,,,,,
