name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1,source_file
Mori Ai,JPN,1,169.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,5,5,X,2,1,1,X,3,TOP,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Grossman Natalia,USA,2,148.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,1,1,X,2,2,1,3,1,37+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Nonaka Miho,JPN,3,138.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,1,1,X,3,1,1,3,3,34+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Raboutou Brooke,USA,4,138.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,1,1,5,3,3,1,X,1,34+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Tanii Natsuki,JPN,5,123.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,6,5,3,3,3,1,X,2,29+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
SEO Chaehyun,KOR,6,118.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,1,1,X,2,X,2,X,2,37+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Ito Futaba,JPN,7,108.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,1,1,X,3,3,3,X,1,29+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Krampl Mia,SLO,8,100.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,3,2,X,5,X,X,X,1,33,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
LUO ZHILU,CHN,9,82.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,4,X,3,X,4,X,X,32+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
NAKAGAWA Ryu,JPN,10,78.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,2,X,X,X,1,X,X,34+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Kura Nanako,JPN,11,77.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,1,1,X,3,X,X,X,1,25,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Hily Manon,FRA,12,76.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,X,X,7,X,X,X,2,32+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Caulier Chloe,BEL,13,73.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,2,X,5,X,X,X,4,29+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Bertone Oriane,FRA,14,67.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,1,X,1,X,3,X,1,25+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Coscoy Cloe,USA,15,59.3,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,X,X,6,X,X,X,2,26,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Kümin Andrea,SUI,16,57.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,X,X,5,X,X,X,3,25+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Ota Risa,JPN,17,55.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,3,X,X,X,X,X,X,28+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Dörffel Lucia,GER,18,52.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,2,X,X,X,X,X,3,25,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
AOYAGI Mia,JPN,19,52.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,X,X,6,X,X,X,X,25+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
Cullen Kylie,USA,20,41.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Women,Semi-final,2022-10-20,/api/v1/category_rounds/7818/results,/api/v1/events/1234/result/618,X,X,X,X,X,X,X,X,24+,2022-10-20_Japan_Boulder&lead_Women_Semi-final.csv
