name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Ropek Edyta,,1,22.37,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,True,26.75,True,23.21,True,22.37,,,2009-08-01_Daone_Speed_Women_Final.csv
Stenkovaya Anna,,2,24.06,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,True,24.23,True,24.29,False,24.06,,,2009-08-01_Daone_Speed_Women_Final.csv
Yurina Valentina,,3,24.00,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,True,25.06,False,23.73,,,True,24.0,2009-08-01_Daone_Speed_Women_Final.csv
Savisko Anastasiya,,4,27.03,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,True,24.94,False,24.83,,,False,27.03,2009-08-01_Daone_Speed_Women_Final.csv
Tuzhylina Svitlana,,5,24.25,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,False,24.25,,,,,,,2009-08-01_Daone_Speed_Women_Final.csv
BUD Gusaim Oleksandra,,6,28.04,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,False,28.04,,,,,,,2009-08-01_Daone_Speed_Women_Final.csv
Morandi Sara,,7,29.31,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,False,29.31,,,,,,,2009-08-01_Daone_Speed_Women_Final.csv
Buczek Klaudia,,8,29.78,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Women,Final,2009-08-01,/api/v1/category_rounds/1188/results,/api/v1/events/570/result/6,False,29.78,,,,,,,2009-08-01_Daone_Speed_Women_Final.csv
