name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Stranik Martin,CZE,15,3t3 4b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,X,X,X,2,2009-05-01_Hall_Boulder_Men_Qualification.csv
Baumann Jonas,GER,16,3t4 4b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,2,1,X,X,X,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Parry Gareth,GBR,16,3t4 4b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,2,1,1,1,1,1,X,X,X,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Pouvreau Gérome,FRA,16,3t4 4b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,2,1,1,1,X,X,X,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Watson Stewart,GBR,16,4t11 5b12,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,X,1,6,6,3,3,2009-05-01_Hall_Boulder_Men_Qualification.csv
Novitskiy Yury,RUS,17,3t4 5b11,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,X,1,X,6,2,2,2009-05-01_Hall_Boulder_Men_Qualification.csv
Hequin Olivier,FRA,18,3t4 4b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,2,1,1,1,X,1,X,X,1,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Danker Stefan,GER,19,3t4 4b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,X,1,X,X,2,2,2009-05-01_Hall_Boulder_Men_Qualification.csv
Hemund Kevin,SUI,19,3t4 4b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,2,2,X,X,X,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Mogaki Keita,JPN,19,3t4 4b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,X,1,X,X,2,2,2009-05-01_Hall_Boulder_Men_Qualification.csv
Merz Aric,GER,20,3t6 4b10,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,2,1,3,2,X,X,X,6,2009-05-01_Hall_Boulder_Men_Qualification.csv
Ceria Niccolo',ITA,21,3t4 4b7,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,2,1,X,4,X,X,1,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Kruder Jernej,SLO,21,3t6 3b3,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,X,X,X,X,4,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Gaidioz Loïc,FRA,22,3t5 5b11,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,X,1,X,5,3,3,2009-05-01_Hall_Boulder_Men_Qualification.csv
Hoppe Markus,GER,22,3t7 4b7,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,2,1,4,3,X,X,X,2,2009-05-01_Hall_Boulder_Men_Qualification.csv
