name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Fischhuber Kilian,AUT,1,3t4 4b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,2,1,1,1,1,1,X,2
Sharafutdinov Dmitrii,RUS,2,3t6 4b12,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,7,1,1,3,3,2,1
Woods Daniel,USA,3,3t6 3b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,2,1,2,2,2,2
Barrans David,GBR,4,2t5 3b8,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,4,3,1,1,X,X,X,4
Kaiser Francois,FRA,5,2t6 4b9,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,5,3,1,1,X,3,X,2
Caleyron Thomas,FRA,6,2t8 3b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,3,1,5,2,X,X,X,2
Glairon Mondet Guillaume,FRA,7,1t1 4b4,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,1,X,1,1,1,X,1
Lachat Cédric,SUI,8,1t1 3b10,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,8,1,1,X,X,X,1
Ennemoser Lukas,AUT,9,1t1 2b7,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,1,1,X,6,X,X
Rubtsov  Aleksei,RUS,10,1t2 4b8,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,2,2,X,1,X,3,X,2
McColl Sean,CAN,11,1t2 3b7,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,2,2,X,4,X,1
Hori Tsukuru,JPN,12,1t3 3b8,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,3,2,X,2,X,4
Gerland Bastien,FRA,13,1t4 2b6,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,4,4,2,X,X,X,X
Watson Stewart,GBR,14,0t 3b4,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,1,X,2,X,X,X,1
de Leeuw Nicky,NED,15,0t 3b6,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,4,X,1,X,X,X,1
Danker Stefan,GER,16,0t 2b2,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,X,1,X,X,X,1
Gaidioz Loïc,FRA,17,0t 2b3,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,X,1,X,X,X,2
Gelmanov Rustam,RUS,18,0t 2b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,X,2,X,X,X,3
Webb-Parsons Christopher,AUS,18,0t 2b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,X,3,X,2,X,X
Bonder Jeremy,FRA,20,0t 2b6,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,671,2011,Eindhoven,Boulder,Men,Semi-Final,2011-06-17,/api/v1/category_rounds/1671/results,/api/v1/events/671/result/3,X,X,X,3,X,X,X,3
