name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
FULKERSON Ross,USA,28.0,3T4z 4 10,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,X,X,1,1,X,6,2,2,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
KHAZANOV Alex,ISR,29.0,3T4z 6 9,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,2,2,X,3,3,3,1,1,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
WALLER Zander,USA,29.0,3T4z 6 9,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,X,3,1,1,4,4,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
PHILLIPS Nathan,GBR,31.0,3T4z 9 10,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,7,7,X,1,1,1,1,1,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
TAKATA Tomoaki,JPN,32.0,3T4z 10 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,6,3,X,1,1,1,3,2,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
RIDAL William,GBR,33.0,3T3z 4 4,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,X,X,1,1,2,2,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
HARADA Kai,JPN,34.0,2T5z 5 13,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,4,3,X,2,X,2,1,1,X,5,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
PICCOLRUAZ Michael,ITA,35.0,2T5z 5 15,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,3,3,X,4,2,2,X,2,X,4,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
KLEESATTEL Max,GER,36.0,2T5z 11 15,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,5,4,X,2,X,1,6,5,X,3,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
HANNA Benjamin,USA,37.0,2T4z 3 12,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,1,1,X,4,2,2,X,5,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
