name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
Asrar Ehsan,IRI,21.0,6.08,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.222,6.081,2021-09-16_Moscow_Speed_Men_Qualification.csv
Karam Zadeh Amir Reza,IRI,22.0,6.14,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,7.806,6.141,2021-09-16_Moscow_Speed_Men_Qualification.csv
Altynbekov Beknur,KAZ,23.0,6.196,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,9.366,6.196,2021-09-16_Moscow_Speed_Men_Qualification.csv
Jung Yongjun,KOR,24.0,6.197,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.197,6.689,2021-09-16_Moscow_Speed_Men_Qualification.csv
Bader Linus,GER,25.0,6.26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.266,6.353,2021-09-16_Moscow_Speed_Men_Qualification.csv
Lucke Sebastian,GER,26.0,6.29,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.294,6.311,2021-09-16_Moscow_Speed_Men_Qualification.csv
Kriz Jan,CZE,27.0,6.37,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,DNF,6.374,2021-09-16_Moscow_Speed_Men_Qualification.csv
Alipour Shenazandifard Mehdi,IRI,28.0,6.52,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.521,6.759,2021-09-16_Moscow_Speed_Men_Qualification.csv
Bunprakop Phanuphong,THA,29.0,6.65,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.652,DNF,2021-09-16_Moscow_Speed_Men_Qualification.csv
Tkach Yaroslav,UKR,30.0,6.67,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.678,DNF,2021-09-16_Moscow_Speed_Men_Qualification.csv
Vivas  Alex,ECU,31.0,6.73,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,7.082,6.734,2021-09-16_Moscow_Speed_Men_Qualification.csv
Hojer Jan,GER,32.0,6.91,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,6.927,6.913,2021-09-16_Moscow_Speed_Men_Qualification.csv
Yessipov Matvey,KAZ,33.0,6.99,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,8.672,6.991,2021-09-16_Moscow_Speed_Men_Qualification.csv
RIVADENEIRA  Nickolaie,ECU,34.0,7.03,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,7.035,10.261,2021-09-16_Moscow_Speed_Men_Qualification.csv
Peña Juan Martin,ECU,35.0,7.10,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,8.863,7.105,2021-09-16_Moscow_Speed_Men_Qualification.csv
Kostyukov Roman,KAZ,36.0,7.17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,7.179,7.82,2021-09-16_Moscow_Speed_Men_Qualification.csv
Lin Chia Hsiang,TPE,37.0,7.18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,7.181,7.318,2021-09-16_Moscow_Speed_Men_Qualification.csv
Ernsberger Merritt,USA,38.0,7.40,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,DNF,7.401,2021-09-16_Moscow_Speed_Men_Qualification.csv
Peñaranda Aaron,ECU,39.0,7.68,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,8.052,7.685,2021-09-16_Moscow_Speed_Men_Qualification.csv
Kuric Peter,SVK,40.0,7.84,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,7.848,DNF,2021-09-16_Moscow_Speed_Men_Qualification.csv
Martin Philipp,GER,41.0,8.00,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,9.226,8.008,2021-09-16_Moscow_Speed_Men_Qualification.csv
Flohé Yannick,GER,42.0,8.62,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,8.626,DNF,2021-09-16_Moscow_Speed_Men_Qualification.csv
Samoilov Fedir,UKR,43.0,9.19,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,10.703,9.195,2021-09-16_Moscow_Speed_Men_Qualification.csv
BEKMEZ FERHAT,TUR,44.0,9.34,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,9.341,9.482,2021-09-16_Moscow_Speed_Men_Qualification.csv
Bruyns Joshua,RSA,45.0,9.91,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,9.912,10.424,2021-09-16_Moscow_Speed_Men_Qualification.csv
Kumar Gaurav,IND,46.0,9.97,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,9.979,12.531,2021-09-16_Moscow_Speed_Men_Qualification.csv
TAŞ TİMUR,TUR,47.0,10.02,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,DNF,10.022,2021-09-16_Moscow_Speed_Men_Qualification.csv
Topishko Sergii,UKR,48.0,10.11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,DNF,10.111,2021-09-16_Moscow_Speed_Men_Qualification.csv
Rudatskiy Lev,CFR,49.0,11.76,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,11.762,DNF,2021-09-16_Moscow_Speed_Men_Qualification.csv
Pitcher Ethan,CAN,50.0,FALSE START,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,DNF,DNS,2021-09-16_Moscow_Speed_Men_Qualification.csv
Duffy Colin,USA,,DNS,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,,,2021-09-16_Moscow_Speed_Men_Qualification.csv
Marne Hritik,IND,,DNS,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1185,2021,Moscow,Speed,Men,Qualification,2021-09-16,/api/v1/category_rounds/6142/results,/api/v1/events/1185/result/2,,,2021-09-16_Moscow_Speed_Men_Qualification.csv
