name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A
KATIBIN KIROMAL,INA,1.0,5.48,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.482,5.505
LEONARDO VEDDRIQ,INA,2.0,5.52,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.52,8.858
Alipour Shenazandifard Reza,IRI,3.0,5.54,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.677,5.547
Timofeev Dmitrii,RUS,4.0,5.622,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.652,5.622
Rudatskiy Lev,RUS,5.0,5.625,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.805,5.625
Shikov Aleksandr,RUS,6.0,5.67,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.765,5.671
Dzienski Marcin,POL,7.0,5.71,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.772,5.714
MUHAMMAD FAJRI ALFIAN,INA,8.0,5.724,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,7.594,5.724
ASPAR ASPAR,INA,9.0,5.726,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.747,5.726
Khaibullin Rishat,KAZ,10.0,5.728,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,DNF,5.728
Zodda Gian Luca,ITA,11.0,5.729,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.729,6.731
Alipour Shenazandifard Mehdi,IRI,12.0,5.734,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.734,5.761
Bratschi Noah,USA,13.0,5.739,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.177,5.739
Deulin Vladislav,RUS,14.0,5.756,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.756,DNF
Brosler John,USA,15.0,5.757,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.757,5.854
Rukin Sergei,RUS,16.0,5.77,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.773,7.078
Bogomolov Arsenii,RUS,17.0,5.80,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.803,DNF
Rebreyend Pierre,FRA,18.0,5.81,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.924,5.818
ARIPIN ZAENAL,INA,19.0,5.82,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.824,DNF
Moro Guillaume,FRA,20.0,5.84,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.844,5.847
Tkach Yaroslav,UKR,21.0,5.85,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.85,6.074
Pavlenko Kostiantyn,UKR,22.0,5.86,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.865,5.987
Noya Cardona Erik,ESP,23.0,5.89,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.892,6.021
Shilov Aleksandr,RUS,24.0,5.90,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.904,6.238
Fossali Ludovico,ITA,25.0,5.94,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,7.295,5.944
Maimuratov Amir,KAZ,26.0,5.99,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,5.994,6.203
Plangger Tobias,AUT,27.0,6.05,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,DNF,6.05
Karpikov Denis,RUS,28.0,6.09,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,9.207,6.091
Carmanns Leander,GER,29.0,6.14,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.14,6.316
Takeda Hajime,JPN,30.0,6.26,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.268,7.324
Ginés López Alberto,ESP,31.0,6.29,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.295,6.621
Knapp Lukas,AUT,32.0,6.30,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.304,6.813
Bader Linus,GER,33.0,6.31,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.318,7.351
Goodacre Joe,USA,34.0,6.32,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.702,6.326
Altynbekov Beknur,KAZ,35.0,6.33,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.445,6.33
Kriz Jan,CZE,36.0,6.41,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,7.866,6.411
Duffy Colin,USA,37.0,6.46,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.738,6.465
PASHKOV Iaroslav,RUS,38.0,6.54,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.546,7.463
Murat Alisher,KAZ,39.0,6.601,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,7.697,6.601
Shafiei Mohsen,IRI,40.0,6.606,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,8.082,6.606
Uterga Flamarique Unax,ESP,41.0,6.69,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.699,7.295
Piccolruaz Michael,ITA,42.0,6.70,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,6.704,9.093
Botnar Bohdan,UKR,43.0,6.72,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,DNF,6.721
Pitcher Ethan,CAN,44.0,6.86,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,8.321,6.867
Coleman Nathaniel,USA,45.0,6.92,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,9.201,6.923
Rivas Domínguez Alejandro,ESP,46.0,7.03,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,7.716,7.032
Cingari Alessandro,ITA,47.0,7.28,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,8.409,7.284
Boulos Alessandro,ITA,48.0,7.49,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,10.091,7.49
Megos Alexander,GER,49.0,7.91,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,9.651,7.916
Wagner Christian,CHI,50.0,8.38,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,9.586,8.382
YASUKAWA Jun,JPN,51.0,8.58,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,8.584,DNF
KITAMI Munekazu,JPN,,DNS,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,,
Lucke Sebastian,GER,,DNS,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",1194,2021,Villars,Speed,Men,Qualification,2021-07-01,/api/v1/category_rounds/6196/results,/api/v1/events/1194/result/2,,
