name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Grossman Natalia,USA,1.0,3.24,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,50,TOP
Rakovec Lucka,SLO,1.0,3.24,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,50,TOP
Totkova Aleksandra,BUL,3.0,4.58,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,50,48
Hammelmüller Eva Maria,AUT,4.0,5.24,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,TOP,34
Chanourdie Julia,FRA,5.0,5.77,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,49,TOP
Fakhritdinova Dinara,RUS,5.0,5.77,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,49,TOP
LUKAN Vita,SLO,7.0,8.49,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,49+,41+
NAKAGAWA Ryu,JPN,8.0,8.83,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,49+,41
Arthaud Nina,FRA,9.0,9.64,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,49+,40
ABE Momoko,JPN,10.0,9.75,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,49,43
Rogora Laura,ITA,11.0,9.81,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,1195,2021,Chamonix,Lead,Women,Qualification,2021-07-12,/api/v1/category_rounds/6187/results,/api/v1/events/1195/result/5,44+,TOP
