name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Pouget Camille,FRA,22,20.5,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,25+,39+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Hulliger Michelle,SUI,23,21.77,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,29+,30+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Wienand Roxana,GER,24,23.09,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,24,39+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Tanii Natsuki,JPN,25,24.17,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,25+,36,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Koller Anne-Sophie,SUI,26,26.15,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,23+,38+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Slemensek Tjasa,SLO,27,26.25,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,24,37+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Hily Manon,FRA,28,27.71,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,22+,38+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Kremer Valeri,ISR,29,29.12,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,22+,37+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Novak Liza,SLO,30,31.22,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,23,34+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Debevec Katja,SLO,31,32.25,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,22+,34+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Duffy Julia,USA,32,32.47,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,23+,33+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Aguado Valentina,ARG,33,32.5,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,24+,28,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Demmel Martina,GER,34,33.12,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,20+,36,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Cuypers Celine,BEL,35,33.99,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,20+,35+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Tesio Giorgia,ITA,36,34.21,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,21,34+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Atkins Käthe,GER,37,35.5,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,21,34,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Hammelmüller Eva Maria,AUT,38,36.28,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,20,34+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Caulier Chloe,BEL,39,37.56,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,21+,30,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Cullen Kylie,USA,40,38.65,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,21,30,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Mason Quinn,USA,41,38.71,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,20,33+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Flohé Luisa,GER,42,39.42,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,19+,33+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Shiran Noa,ISR,43,42.16,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,14+,30+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
Fisher Ashley,USA,44,43.0,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,16+,29,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
LIOUNI Athanasia,GRE,45,44.5,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,1197,2021,Ljubljana,Lead,Women,Qualification,2021-09-03,/api/v1/category_rounds/6191/results,/api/v1/events/1197/result/5,15,23+,2021-09-03_Ljubljana_Lead_Women_Qualification.csv
