name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B,source_file
Miroslaw Aleksandra,POL,1,6.30,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,DNF,6.304,2023-09-22_Wujiang_Speed_Women_Qualification.csv
Kalucka Aleksandra,POL,2,6.61,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,6.61,6.897,2023-09-22_Wujiang_Speed_Women_Qualification.csv
DENG LIJUAN,CHN,3,6.68,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,6.686,6.698,2023-09-22_Wujiang_Speed_Women_Qualification.csv
ZHOU YAFEI,CHN,4,6.95,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,6.957,7.138,2023-09-22_Wujiang_Speed_Women_Qualification.csv
Kalucka Natalia,POL,5,6.96,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,6.98,6.963,2023-09-22_Wujiang_Speed_Women_Qualification.csv
Romero Pérez Leslie Adriana,ESP,6,6.98,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,7.111,6.985,2023-09-22_Wujiang_Speed_Women_Qualification.csv
WANG SHENGYAN,CHN,7,7.00,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,7.007,7.054,2023-09-22_Wujiang_Speed_Women_Qualification.csv
NIU DI,CHN,8,7.04,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,7.047,8.148,2023-09-22_Wujiang_Speed_Women_Qualification.csv
Viglione Capucine,FRA,9,7.102,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,11.07,7.102,2023-09-22_Wujiang_Speed_Women_Qualification.csv
YANG MI,CHN,10,7.104,IFSC World Cup Wujiang 2023,1303,2023,Wujiang,Speed,Women,Qualification,2023-09-22,/api/v1/category_rounds/7710/results,/api/v1/events/1303/result/6,7.405,7.104,2023-09-22_Wujiang_Speed_Women_Qualification.csv
