name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Klem Lisa,NED,41,1T4z 5 19,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,7,5,1,X,X,X,7,X,4
Zhang YUETONG,CHN,41,1T3z 3 8,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,3,X,X,X,3,3,2
Rakovec Lucka,SLO,41,1T4z 5 19,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,5,2,X,8,X,8,X,1
Nesterenko Daria,UKR,44,1T3z 3 19,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,3,3,X,6,X,X,X,10
Adamovska Eliska,CZE,45,1T4z 6 22,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,6,6,X,3,X,X,X,7,X,6
Bärtschi Natalie,SUI,45,1T3z 6 15,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,4,X,5,X,X,6,6
Thompson-Smith Molly,GBR,47,0T4z 0 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,X,X,X,8,X,2,X,5
Hily Manon,FRA,47,1T3z 1 8,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,5,1,1,X,X,X,X,X,2
NAKAGAWA Ryu,JPN,49,1T3z 2 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,2,2,X,X,X,X,X,1,X,13
Aguado Valentina,ARG,49,0T3z 0 4,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,1,X,1,X,2
Totkova Aleksandra,BUL,51,1T3z 4 13,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,4,4,X,4,X,X,X,X,X,5
Loikas Laura,FIN,51,0T3z 0 16,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,6,X,5,X,5
Mason Quinn,USA,53,0T3z 0 17,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,3,X,6,X,X,X,8
Agambayeva Margarita,KAZ,53,1T2z 6 21,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,6,5,X,X,X,X,X,16
Briggs Evangelina,CAN,55,0T3z 0 24,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,13,X,2,X,X,X,9
Jurcenko Arina,CZE,55,0T5z 0 21,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,6,X,4,X,2,X,6,X,3
Lochner Leonie,GER,57,0T4z 0 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,2,X,1,X,4,X,5
KIM Jain,KOR,57,0T2z 0 4,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,1,X,X,X,X,X,3,X,X
Haave Sunniva Eik,NOR,59,0T3z 0 7,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,1,X,X,X,5,X,1
Zitkova Barbora,CZE,59,0T2z 0 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,4,X,X,X,X,X,8
Contreras Alejandra,CHI,61,0T3z 0 8,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,3,X,2,X,X,X,3
Matelsone Arta,LAT,61,0T1z 0 5,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,5,X,X,X,X,X,X
GARCIA MOLINA Zoe,ARG,63,0T1z 0 8,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,X,X,X,X,8
Hopfensitz Sandra,GER,63,0T3z 0 9,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,2,X,3,X,X,X,X,X,4
Sepulveda Elizabeth,PUR,65,0T0z 0 0,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,X,X,X,X,X
Diez Luengo Miriam,ESP,65,0T0z 0 0,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,X,X,X,X,X
González Rámirez María Fernanda,MEX,65,0T0z 0 0,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,X,X,X,X,X
Galeova Ema,CZE,65,0T2z 0 6,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,3,X,X,X,X,X,3
Bjarnason Svana,ISL,65,0T0z 0 0,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,X,X,X,X,X
KALLIA Evdoxia-Aikaterini,GRE,70,0T2z 0 14,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,2,X,X,X,X,X,12
Silva Muykuay,CHI,71,0T2z 0 21,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,6,X,X,X,X,X,15
Kremer Valeri,ISR,72,0T1z 0 1,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,X,X,X,X,X,X,1
Arnold Rosa,FIN,73,0T1z 0 2,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Women,Qualification,2023-06-02,/api/v1/category_rounds/7682/results,/api/v1/events/1295/result/7,X,X,X,2,X,X,X,X,X,X
