name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
Sterrer Franziska,AUT,23,228.19,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,220,16,8.19,47,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Rekabi Elnaz,IRI,24,225.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,205,17,20.0,37,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
KUME Nonoha,JPN,25,183.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,6.0,54,177.5,18,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Kazbekova Ievgeniia,UKR,26,175.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,155,20,20.0,37,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Gejo Stasa,SRB,27,173.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,68.0,27,105,24,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Dörffel Lucia,GER,28,157.16,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,131.66,21,25.5,35,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Moroni Camilla,ITA,29,145.16,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,13.5,41,131.66,21,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
NAKAGAWA Ryu,JPN,30,104.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,52.0,29,52.0,29,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Yip Alannah,CAN,31,103.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,89.5,25,13.5,41,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
LUO ZHILU,CHN,32,102.4,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,7.4,49,95,25,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
