name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1,source_file
SCHUBERT Jakob,AUT,1,183.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,3,3,2,2,1,1,2,2,42,2023-08-01_Bern_Boulder&lead_Men_Final.csv
DUFFY Colin,USA,2,160.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,X,2,2,2,1,1,2,2,40,2023-08-01_Bern_Boulder&lead_Men_Final.csv
NARASAKI Tomoa,JPN,3,156.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,4,2,1,1,1,1,1,1,35,2023-08-01_Bern_Boulder&lead_Men_Final.csv
ANRAKU Sorato,JPN,4,149.1,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,X,1,1,1,1,1,1,1,37+,2023-08-01_Bern_Boulder&lead_Men_Final.csv
ROBERTS Toby,GBR,5,143.4,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,X,X,5,1,1,1,3,3,37+,2023-08-01_Bern_Boulder&lead_Men_Final.csv
ONDRA Adam,CZE,6,141.2,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,X,5,2,2,1,1,5,5,35+,2023-08-01_Bern_Boulder&lead_Men_Final.csv
LEE Dohyun,KOR,7,127.1,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,X,1,1,1,X,1,1,1,35+,2023-08-01_Bern_Boulder&lead_Men_Final.csv
JENFT Paul,FRA,8,102.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Final,2023-08-01,/api/v1/category_rounds/8352/results,/api/v1/events/1301/result/617,X,1,1,1,X,2,2,2,27,2023-08-01_Bern_Boulder&lead_Men_Final.csv
