name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Garnbret Janja,SLO,1,1.22,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,TOP,TOP
Mori Ai,JPN,2,1.73,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,43+,TOP
SEO Chaehyun,KOR,3,3.74,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,42,42+
Rogora Laura,ITA,4,4.58,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,38,42+
Krampl Mia,SLO,5,5.0,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,41+,42
TANII Natsuki,JPN,6,5.87,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,43,34+
Pilz Jessica,AUT,7,6.93,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,37+,41+
KUME Nonoha,JPN,8,9.17,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,33+,41
Lukan Vita,SLO,9,11.14,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,37+,33
Thompson-Smith Molly,GBR,10,11.4,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,32+,36+
ITO Futaba,JPN,11,12.87,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,37+
Janicot Hélène,FRA,12,14.12,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,36+,32+
Zhang YUETONG,CHN,12,14.12,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,36+,32+
NAKAGAWA Ryu,JPN,14,15.36,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,37+,31+
KOIKE Hana,JPN,15,16.22,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,33+
van der Meer Lynn,NED,16,17.39,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,33
Pötzi Mattea,AUT,17,17.46,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30+,34+
KIM Jain,KOR,18,17.73,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,26+,37+
Hily Manon,FRA,19,20.46,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30,33+
Meul Hannah,GER,20,20.68,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,32,31+
Rakovec Lucka,SLO,20,20.68,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,32,31+
Bertone Oriane,FRA,22,22.44,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30+,32+
Skusek Lana,SLO,22,22.44,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30+,32+
Adamovska Eliska,CZE,24,23.98,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,31+
Copar Sara,SLO,24,23.98,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,31+
Rekar Rosa,SLO,24,23.98,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,31+
Gejo Stasa,SRB,27,25.6,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,27+,32+
Rekabi Elnaz,IRI,28,27.96,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30+,31+
Smetanova Michaela,CZE,29,29.29,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,25
Gibert Fanny,FRA,30,30.24,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30,31+
Totkova Aleksandra,BUL,30,30.24,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30,31+
Avezou Zélia,FRA,32,30.91,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,31+,24+
Kremer Valeri,ISR,33,31.2,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,29+,31+
Buckley Jennifer Eucharia,SLO,34,31.73,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30+,30
SEO Yejoo,KOR,35,32.56,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,30+,25+
Scolaris Ilaria,ITA,36,34.35,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,26,31+
Dörffel Lucia,GER,37,36.03,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,25+,31+
Hopfensitz Sandra,GER,37,36.03,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,25+,31+
Demmel Martina,GER,39,38.6,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,24,31+
Tarkus Lucija,SLO,40,38.96,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,27+,25
Ghisolfi Claudia,ITA,41,39.91,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,21,31+
Klingler Petra,SUI,42,40.35,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,26+,25
Yip Alannah,CAN,42,40.35,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,26+,25
Condie Kyra,USA,44,41.36,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,19+,31+
Caulier Chloe,BEL,45,41.95,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,26,25
Shiran Noa,ISR,46,44.0,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,25+,25
Köhler  Anja,BRA,47,45.25,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,22+,28+
Debevec Katja,SLO,48,46.43,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,25+,24+
Lettner Sandra,AUT,49,47.33,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,26,22
Watillon Lucie,BEL,50,48.06,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,25+,23+
Atkins Käthe,GER,51,49.42,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,20+,25
Hammelmüller Eva Maria,AUT,52,49.67,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,25,23+
Kruder Julija,SLO,53,50.46,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,24+,23+
Siruckova Tereza,CZE,53,50.46,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,24+,23+
Mlakar Staric Zala,SLO,55,50.72,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,22+,24+
Tesio Giorgia,ITA,56,52.7,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,24,23
Scott Kerry,USA,57,56.24,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,20+,21
Torres Illamola Aida,ESP,58,58.48,IFSC World Cup Koper 2023,1302,2023,Koper,Lead,Women,Qualification,2023-09-08,/api/v1/category_rounds/7706/results,/api/v1/events/1302/result/5,20,18+
