name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1,source_file
GARNBRET Janja,SLO,1,175.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,1,1,3,2,4,2,7,7,47+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
MORI Ai,JPN,2,136.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,X,X,1,X,X,1,1,51,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
BERTONE Oriane,FRA,3,133.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,1,1,X,X,2,1,6,3,41+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
RABOUTOU Brooke,USA,4,122.1,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,1,X,3,X,5,4,4,45,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
NONAKA Miho,JPN,5,108.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,2,X,5,X,3,5,5,41+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
PILZ Jessica,AUT,6,98.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,3,X,X,5,5,X,X,41+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
SANDERS Anastasia,USA,7,92.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,4,X,2,X,9,4,2,36,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
KIM Jain,KOR,8,91.1,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,2,X,X,X,X,X,X,46,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
GROSSMAN Natalia,USA,9,88.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,1,X,X,X,2,X,6,41+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
SEO Chaehyun,KOR,10,86.4,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,3,X,X,X,3,X,X,42+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
