name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B
Kalucka Natalia,POL,1,6.72,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,6.726,6.768
MADE RITA KUSUMA DEWI DESAK,INA,2,6.74,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,6.742,6.78
Kalucka Aleksandra,POL,3,6.77,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,6.825,6.774
Hunt Emma,USA,4,6.78,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,6.785,6.949
SALLSABILLAH RAJIAH,INA,5,6.96,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,6.982,6.968
IQAMAH NURUL,INA,6,7.14,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.229,7.14
Viglione Capucine,FRA,7,7.17,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.178,7.22
WANG SHENGYAN,CHN,8,7.18,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.183,7.375
ZHANG SHAOQIN,CHN,9,7.24,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.242,7.328
Gautron Lison,FRA,10,7.26,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.553,7.266
Romero Pérez Leslie Adriana,ESP,11,7.30,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.306,7.31
JEONG Jimin,KOR,12,7.33,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.488,7.339
NIU DI,CHN,13,7.34,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.351,7.346
Chudziak Patrycja,POL,14,7.372,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Speed,Women,Qualification,2023-07-07,/api/v1/category_rounds/7696/results,/api/v1/events/1299/result/6,7.372,7.561
