name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
Lopez Valdez Hector,MEX,64,5.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,5.0,57,0,89,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Serlachius Fredrik,SWE,64,5.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0.0,81,5,59,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Ho Foganholo Felipe ,BRA,66,4.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,4.5,59,0,95,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
McNamee Kindar,CAN,67,4.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,3.33,63,1,76,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Levin Ram,ISR,68,4.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,90,4.0,60,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Janse van Rensburg Mel,RSA,69,4.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,2.0,69,2,73,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Kolasangian Reza,IRI,70,3.57,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,1.0,75,2.57,65,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Parks Dylan,AUS,71,3.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,3.33,63,0,85,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Pare Maxim,AUS,72,3.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,3.0,67,0,93,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Baudrand Victor,CAN,73,3.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,1,78,2,72,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
INTRACHUPONGSE ARDCH,THA,74,2.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,2.0,73,0.66,79,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Urrutia Joaquin,CHI,74,2.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,2.0,69,0.66,79,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
GOH WEN BIN Luke,SGP,76,2.57,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,96,2.57,65,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Rusev Nikolay,BUL,76,2.57,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,86,2.57,65,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
HAN MINSUNG,KOR,78,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,2.0,71,0,88,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Sivakov Roman,LTU,78,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,2.0,73,0,111,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Tkachuk Mykhayil,UKR,78,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,2.0,71,0,97,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
ABDI MUHAMMAD FERZA FERNADA,INA,81,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,105,1.0,77,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Ayala Benjamin,CHI,81,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,1.0,75,0,105,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Boondech Teeraphon,THA,81,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,114,1.0,77,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Moreno Montoya Jair Octavio,MEX,81,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,117,1,75,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Arnarson Guðmundur Freyr,ISL,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,88,0,119,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
BIM SIGRID,INA,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,120,0,82,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Castellanos Luis,VEN,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,103,0,107,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
De Alba Flores Santiago,MEX,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,121,0,103,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Devyaterikov Artyom,KAZ,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,117,0,105,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Di Nino Gianstefano,VEN,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,112,0,109,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Flores Emilio,GUA,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,112,0,113,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
GREGORINI Bautista,ARG,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,98,0,83,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Ivanov Jovan,MKD,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,123,0,121,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Kern Gabriel,SWE,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,93,0,99,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
KIM DOHYEON,KOR,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,99,0,89,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Kirov Boyan,BUL,85,0.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,0,107,0,85,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
