name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1,source_file
ANRAKU Sorato,JPN,1,184.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,2,1,1,1,X,1,1,1,TOP,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
ROBERTS Toby,GBR,2,164.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,2,2,X,X,1,1,TOP,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
DUFFY Colin,USA,3,157.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1,1,6,5,X,7,45+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
NARASAKI Tomoa,JPN,4,148.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,2,1,1,3,1,1,1,39,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
SCHUBERT Jakob,AUT,5,144.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1,1,X,X,X,X,TOP,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
ONDRA Adam,CZE,6,144.1,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,2,1,3,3,X,1,X,X,43,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
LEE Dohyun,KOR,7,129.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,2,1,1,X,4,1,1,38+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
JENFT Paul,FRA,8,126.3,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,3,3,3,2,1,3,3,32,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
SCHALCK Mejdi,FRA,9,125.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,5,1,1,3,1,6,2,32,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
YURIKUSA Ao,JPN,10,121.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,2,2,X,X,5,2,37+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
