name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Novitskiy Yury,RUS,12,4t13 5b13,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,3,2,X,2,5,5,2,1,3,3
Lebreton Olivier,FRA,13,4t6 5b7,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,1,1,3,3,1,1,X,1
Stranik Martin,CZE,13,4t15 5b15,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,X,1,9,9,4,3,1,1
Jubes Angarita Marco Antonio,ESP,14,4t16 5b16,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,X,3,6,5,4,3,5,4
Kruder Jernej,SLO,14,4t6 4b6,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,1,1,1,1,X,X,3,3
Gaidioz Loïc,FRA,15,3t3 5b6,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,X,2,1,1,X,1,1,1
Jalmain Sebastien,FRA,15,4t7 4b6,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,2,2,2,1,1,1,X,X,2,2
Duroche Pierre,FRA,16,3t3 4b5,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,X,2,1,1,X,X,1,1
Gerland Bastien,FRA,16,4t8 5b10,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,1,1,2,2,1,1,X,2,4,4
Lachat Cédric,SUI,17,4t11 5b12,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,519,2008,Montauban,Boulder,Men,Qualification,2008-07-04,/api/v1/category_rounds/884/results,/api/v1/events/519/result/3,2,2,1,1,2,2,X,1,6,6
