name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Rudigier Max,AUT,36,32+ 43. | 31+ 25. [34.39],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,32+,31+
Tribout Adrien,FRA,36,32+ 43. | 31+ 25. [34.39],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,32+,31+
Bergant Martin,SLO,38,33+ 28. | 29+ 29. [36.45],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,33+,29+
Michel Nathan,FRA,38,33+ 28. | 29+ 29. [36.45],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,33+,29+
Tresco BenIsaac,USA,38,33+ 28. | 29+ 29. [36.45],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,33+,29+
Cano Blazquez Javier,ESP,41,28+ 59. | 32 22. [37.15],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,28+,32
Bombardi Marcello,ITA,42,33+ 28. | 28+ 50. [41.53],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,33+,28+
Pope James,GBR,43,32+ 43. | 29+ 29. [41.85],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,32+,29+
Schab Piotr,POL,43,32+ 43. | 29+ 29. [41.85],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,32+,29+
Rubtsov  Aleksei,RUS,45,31+ 49. | 29+ 29. [43.65],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,31+,29+
JonasMcRae Elan,CAN,46,30+ 51. | 29+ 29. [44.31],IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,946,2016,Briançon,Lead,Men,Qualification,2016-07-22,/api/v1/category_rounds/3869/results,/api/v1/events/946/result/1,30+,29+
