name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Färber Johanna,AUT,11,2t4 3b3,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,1,1,1,X,1,X,X,X,X
Kazbekova Ievgeniia,UKR,11,4t11 4b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,6,3,1,1,3,3,X,X
Gibert Fanny,FRA,12,3t3 4b4,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,1,1,1,1,1,1,X,X
Kipriianova Ekaterina,RUS,12,2t4 3b5,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,3,3,X,1,X,X,X,X
Kümin Andrea,SUI,13,2t5 4b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,2,2,1,X,2,X,4,X,X
Onoe Aya,JPN,13,3t5 4b12,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,1,X,9,1,1,1,1,X,X
Ruzickova Petra,CZE,14,3t6 4b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,1,X,3,2,1,1,1,X,X
Slemensek Tjasa,SLO,14,2t5 4b12,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,1,2,2,X,4,X,5,X,X
Kruder Julija,SLO,15,2t6 5b14,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,1,1,X,2,5,5,X,5
Zijlstra Vera,NED,15,3t6 4b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,2,2,1,1,1,3,3,X,X
Iakovleva Olga,RUS,16,2t6 3b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,2,1,4,4,X,1,X,X,X,X
Shemulinkina  Tatiana,RUS,16,3t7 4b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,3,2,1,1,3,3,X,X
Durif Charlotte,FRA,17,3t8 5b12,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,2,2,3,3,3,3,X,3
Kim Theisen Michelle,DEN,17,2t7 3b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,4,3,3,2,X,4,X,X,X,X
Martin Meagan,USA,17,3t8 5b12,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,2,2,4,4,X,1,2,1,X,4
Condie Kyra,USA,18,2t8 2b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,7,7,1,1,X,X,X,X,X,X
Bärtschi Natalie,SUI,19,3t9 3b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,2,2,6,6,X,X,X,X
Margolina Anna,RUS,19,2t9 3b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,1,6,6,X,2,X,X,X,X
Kremer Valeri,ISR,20,2t10 3b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,2,2,8,6,X,1,X,X,X,X
Tracy Michaela,GBR,20,3t10 4b10,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,7,4,X,3,2,2,X,X
Blair-Coyle Sierra,USA,21,3t12 3b11,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,4,3,3,3,X,X,5,5,X,X
Buhrfeind Claire,USA,21,2t10 3b12,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,5,5,5,5,X,2,X,X,X,X
Van liere Mirthe,NED,22,2t10 2b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,5,4,5,5,X,X,X,X,X,X
Yokoyama Sofya,SUI,22,2t3 4b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,1,1,2,2,X,1,X,4,X,X
Lee Hung Ying,TPE,23,2t12 4b15,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,3,9,6,X,2,X,4,X,X
Kuznetsova Tamara,KAZ,23,2t4 4b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,3,2,X,2,1,1,X,X
Claes Elfe,BEL,24,2t16 2b15,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,8,8,8,7,X,X,X,X,X,X
Hayes Margo,USA,24,2t4 4b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,2,X,3,X,1,1,1,X,X
Gollo Asja,ITA,25,2t4 4b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,3,X,3,3,1,1,1,X,X
Sinnhuber Karoline,AUT,25,1t1 4b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,2,1,1,X,1,X,3,X,X
