name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
LIANG RongQi,CHN,28,7.710,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Zodda Gian Luca,ITA,29,7.750,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Narasaki Tomoa,JPN,30,7.850,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Bogomolov Arsenii,RUS,31,7.960,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Fujii Kokoro,JPN,32,8.540,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Levin Josh,USA,33,8.850,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Cano Blazquez Javier,ESP,34,8.910,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Ogata Yoshiyuki,JPN,35,10.250,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Puman Hannes,SWE,36,11.090,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Pastor Martínez Sergio,ESP,37,12.030,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
Kim Hongil,KOR,38,False start,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",995,2017,Wujiang,Speed,Men,Qualification,2017-10-07,/api/v1/category_rounds/4343/results,/api/v1/events/995/result/2
