name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Ridal William,GBR,22,1T4z 1 5,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,1,X,X,X,2,X,1,1,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Ginés López Alberto,ESP,23,1T3z 4 16,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,5,X,X,X,7,X,X,4,4,2019-06-07_Vail_Boulder_Men_Qualification.csv
Levin Josh,USA,23,1T3z 2 8,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,X,X,4,X,3,X,X,2,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Galla Zach,USA,24,1T3z 3 7,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,X,X,3,X,1,X,X,3,3,2019-06-07_Vail_Boulder_Men_Qualification.csv
Lequerica Diego,PER,24,1T3z 7 4,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,1,X,X,X,2,X,X,7,1,2019-06-07_Vail_Boulder_Men_Qualification.csv
Goodacre Joe,USA,25,1T3z 5 7,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,2,X,X,X,X,5,3,X,2,2019-06-07_Vail_Boulder_Men_Qualification.csv
Granja Carlos,ECU,25,1T2z 6 10,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,X,X,X,X,4,X,X,6,6,2019-06-07_Vail_Boulder_Men_Qualification.csv
De Rivero Huaman Leonardo,PER,26,1T2z 4 9,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,4,2,X,X,X,X,X,X,X,7,2019-06-07_Vail_Boulder_Men_Qualification.csv
Weber Franz Josef,MEX,26,0T3z 0 10,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,5,X,X,X,1,X,X,X,4,2019-06-07_Vail_Boulder_Men_Qualification.csv
Brosler John,USA,27,0T2z 0 4,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,2,X,X,X,2,X,X,X,X,2019-06-07_Vail_Boulder_Men_Qualification.csv
Sanchez German David,MEX,27,0T1z 0 6,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,X,X,X,X,6,X,X,X,X,2019-06-07_Vail_Boulder_Men_Qualification.csv
Martinez  Cordero Alejandro,MEX,28,0T0z 0 0,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,X,X,X,X,X,X,X,X,X,2019-06-07_Vail_Boulder_Men_Qualification.csv
RIVADENEIRA  Nickolaie,ECU,28,0T2z 0 11,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,6,X,X,X,5,X,X,X,X,2019-06-07_Vail_Boulder_Men_Qualification.csv
Cardenas Vicente Franklin,PER,29,0T0z 0 0,IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,1117,2019,Vail,Boulder,Men,Qualification,2019-06-07,/api/v1/category_rounds/5496/results,/api/v1/events/1117/result/3,X,X,X,X,X,X,X,X,X,X,2019-06-07_Vail_Boulder_Men_Qualification.csv
