name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Chon Jongwon,KOR,1,3t3 4b4,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,1,1,1,1,X,1,1,1
Ondra Adam,CZE,2,3t4 4b6,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,2,2,2,1,1,1,1
Gelmanov Rustam,RUS,3,3t7 4b10,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,4,3,2,2,X,4,1,1
Nakano Minoru,JPN,4,3t10 4b8,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,3,1,3,2,X,1,4,4
Hojer Jan,GER,5,2t3 4b5,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,1,1,1,X,1,2,2
Levier Alban,FRA,6,2t3 4b6,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,1,1,X,1,X,2,2,2
Baratzadeh Gholamali,IRI,7,2t4 4b6,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,2,1,X,2,X,1,2,2
Hori Tsukuru,JPN,8,2t4 3b5,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,2,2,1,X,X,2,2
Fujii Kokoro,JPN,9,2t5 4b10,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,4,2,X,5,X,2,1,1
Cornu Manuel,FRA,10,2t5 3b5,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,4,1,X,3,X,X,1,1
Coleman Nathaniel,USA,11,2t6 4b8,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,2,2,1,X,1,4,4
Sharafutdinov Dmitrii,RUS,12,1t1 4b7,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,2,X,1,X,3,1,1
Kassay James,AUS,13,1t1 3b7,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,2,1,1,X,4,X,X
Bonder Jeremy,FRA,14,1t1 2b2,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,X,1,1,X,1,X,X
Sugimoto Rei,JPN,15,1t2 3b4,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,1,X,1,X,X,2,2
Narasaki Tomoa,JPN,16,1t2 3b5,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",901,2015,Haiyang,Boulder,Men,Semi-Final,2015-06-26,/api/v1/category_rounds/3442/results,/api/v1/events/901/result/3,X,1,X,2,X,X,2,2
