event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Men,Qualification,2013-03-22,/api/v1/category_rounds/2523/results,/api/v1/events/789/result/3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Men,Semi-Final,2013-03-22,/api/v1/category_rounds/2524/results,/api/v1/events/789/result/3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Men,Final,2013-03-22,/api/v1/category_rounds/2525/results,/api/v1/events/789/result/3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Semi-Final,2013-03-22,/api/v1/category_rounds/2519/results,/api/v1/events/789/result/7
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Final,2013-03-22,/api/v1/category_rounds/2520/results,/api/v1/events/789/result/7
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Speed,Men,Qualification,2013-03-22,/api/v1/category_rounds/2526/results,/api/v1/events/789/result/2
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Speed,Men,Final,2013-03-22,/api/v1/category_rounds/2527/results,/api/v1/events/789/result/2
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Speed,Women,Qualification,2013-03-22,/api/v1/category_rounds/2521/results,/api/v1/events/789/result/6
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Speed,Women,Final,2013-03-22,/api/v1/category_rounds/2522/results,/api/v1/events/789/result/6
IFSC Climbing Worldcup (B) - Millau (FRA) 2013,790,2013,Millau,Boulder,Men,Qualification,2013-04-05,/api/v1/category_rounds/2531/results,/api/v1/events/790/result/3
