event_name,event_id,year,location,discipline,gender,start_date,event_results
UIAA Worldcup (B) - Birmingham (GBR) 2005,388,2005,Birmingham,Boulder,Men,2005-03-18,/api/v1/events/388/result/3
UIAA Worldcup (B) - Birmingham (GBR) 2005,388,2005,Birmingham,Boulder,Women,2005-03-18,/api/v1/events/388/result/7
UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,2005-04-08,/api/v1/events/389/result/3
UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,2005-04-08,/api/v1/events/389/result/7
UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,2005-04-08,/api/v1/events/389/result/2
UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Women,2005-04-08,/api/v1/events/389/result/6
UIAA Worldcup (S) - Moscow (RUS) 2005,390,2005,Moscow,Speed,Men,2005-04-10,/api/v1/events/390/result/2
UIAA Worldcup (S) - Moscow (RUS) 2005,390,2005,Moscow,Speed,Women,2005-04-10,/api/v1/events/390/result/6
UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Lead,Men,2005-04-23,/api/v1/events/391/result/1
UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Lead,Women,2005-04-23,/api/v1/events/391/result/5
UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Speed,Men,2005-04-23,/api/v1/events/391/result/2
UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Speed,Women,2005-04-23,/api/v1/events/391/result/6
UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,2005-04-28,/api/v1/events/392/result/1
UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,2005-04-28,/api/v1/events/392/result/5
UIAA Worldcup (L) - Imst (AUT) 2005,393,2005,Imst,Lead,Men,2005-05-26,/api/v1/events/393/result/1
