name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file
Pagnoux Romain,FRA,28,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Guerimand Flavien,FRA,32,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Reis Jürgen,AUT,32,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Culver Aurélien,FRA,34,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Bergasse Remy,FRA,35,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Sarkany Frederic,BEL,35,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Becan Klemen,SLO,37,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Buchauer Konrad,AUT,37,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Giorgetti Arthur,FRA,37,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Kim Jaha,KOR,37,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Schmid Thomas,SUI,37,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Carlsson Erik,SWE,42,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Timmermans Michael,BEL,43,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Gerland Bastien,FRA,44,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Sova Matej,SLO,44,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Laurent David,FRA,46,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
Munoz Dmitri,FRA,47,,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,2005-10-27,/api/v1/events/402/result/1,2005-10-27_Valence_Lead_Men_no-round.csv
