name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Stöhr Anna,AUT,1,4t4 4b4,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,1,1,1,1
Coxsey Shauna,GBR,2,4t5 4b5,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,2,2,1,1,1,1
Puccio Alex,USA,3,4t6 4b6,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,3,3,1,1
Fakhritdinova Dinara,RUS,4,3t3 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,X,X,1,1
Klingler Petra,SUI,4,3t3 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,X,X,1,1
Sandoz Mélanie,FRA,4,3t3 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,X,X,1,1
Saurwein Katharina,AUT,4,3t3 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,X,X,1,1
Kobayashi Yuka,JPN,8,3t4 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,2,1,X,X,1,1
Noguchi Akiyo,JPN,9,3t5 3b4,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,2,2,2,1,X,X,1,1
Markovic Mina,SLO,10,3t8 3b8,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,4,4,2,2,X,X,2,2
Retschy Monika,GER,11,2t2 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,X,X,X,1
Onoe Aya,JPN,12,2t2 2b2,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,1,1,1,1,X,X,X,X
Wurm Juliane,GER,13,2t3 3b4,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,X,1,2,2,X,X,1,1
Kazbekova Ievgeniia,UKR,14,2t3 2b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,2,2,1,1,X,X,X,X
Le Neve Melissa,FRA,15,2t4 3b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,3,1,1,1,X,X,X,1
Lavarda Jenny,ITA,16,2t7 3b8,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,X,1,5,5,X,X,2,2
Chereshneva Yana,RUS,17,1t1 3b12,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,X,4,1,1,X,X,X,7
Gallyamova Anna,RUS,18,1t2 2b5,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,X,3,X,X,X,X,2,2
Kipriianova Ekaterina,RUS,19,0t 1b3,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,X,3,X,X,X,X,X,X
Schwaiger Berit,AUT,20,0t 1b5,IFSC Climbing Worldcup (B) - Munich (GER) 2013,799,2013,Munich,Boulder,Women,Semi-Final,2013-08-24,/api/v1/category_rounds/2581/results,/api/v1/events/799/result/7,X,X,X,5,X,X,X,X
