name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Peshekhonov Alexander,RUS,13.0,22.06,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Carvajal Nestor,VEN,11.0,20.81,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Portsev Aleksei,RUS,14.0,23.84,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Swirk Lukasz,POL,12.0,21.65,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Osipov Maksym,UKR,4.0,19.73,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Amann Mark,AUT,10.0,20.51,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Kosterin Alexander,RUS,9.0,18.66,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Vaitsekhovskii Evgenii,RUS,8.0,19.5,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
De Las Salas Leonel,VEN,7.0,18.93,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Januel Nicolas,FRA,6.0,18.48,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Komondi Csaba,HUN,5.0,18.2,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Hroza Libor,CZE,15.0,23.85,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Escobar Manuel,VEN,3.0,16.89,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Sinitcyn Sergei,RUS,2.0,15.42,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Skripov Anatoly,RUS,1.0,15.4,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Coretti Manuel,ITA,20.0,30.15,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Qualification,2007-05-01,/api/v1/category_rounds/615/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Qualification.csv,2007-05-01_Trento_Speed_Men_Qualification.csv,2007/2007-05-01_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Giupponi Luca,ITA,21.0,31.25,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Qualification,2007-05-01,/api/v1/category_rounds/615/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Qualification.csv,2007-05-01_Trento_Speed_Men_Qualification.csv,2007/2007-05-01_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Juhasz Gyula,HUN,22.0,36.69,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Qualification,2007-05-01,/api/v1/category_rounds/615/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Qualification.csv,2007-05-01_Trento_Speed_Men_Qualification.csv,2007/2007-05-01_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Svacha Jiri,CZE,16.0,24.58,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Final,2007-05-01,/api/v1/category_rounds/616/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Final.csv,2007-05-01_Trento_Speed_Men_Final.csv,2007/2007-05-01_Trento_Speed_Men_Final.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Conrad Mathias,GER,18.0,29.35,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Qualification,2007-05-01,/api/v1/category_rounds/615/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Qualification.csv,2007-05-01_Trento_Speed_Men_Qualification.csv,2007/2007-05-01_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Sirotti Michel,ITA,19.0,29.7,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Qualification,2007-05-01,/api/v1/category_rounds/615/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Qualification.csv,2007-05-01_Trento_Speed_Men_Qualification.csv,2007/2007-05-01_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
Sinitcyn Sergei,RUS,1.0,18.02,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Men,Qualification,2007-05-01,/api/v1/category_rounds/615/results,/api/v1/events/472/result/2,,,,,,,,,,,2007-05-01_Trento_Speed_Men_Qualification.csv,2007-05-01_Trento_Speed_Men_Qualification.csv,2007/2007-05-01_Trento_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Score_2007-2008
