name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Yurina Valentina,RUS,6.0,27.25,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Qualification,2007-05-01,/api/v1/category_rounds/613/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Qualification.csv,2007/2007-05-01_Trento_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Ruyga Tatiana,RUS,7.0,27.37,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Qualification,2007-05-01,/api/v1/category_rounds/613/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Qualification.csv,2007/2007-05-01_Trento_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Da Silva Rosmery,VEN,8.0,27.51,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Qualification,2007-05-01,/api/v1/category_rounds/613/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Qualification.csv,2007/2007-05-01_Trento_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Stenkovaya Anna,RUS,5.0,26.8,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Qualification,2007-05-01,/api/v1/category_rounds/613/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Qualification.csv,2007/2007-05-01_Trento_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Blanco Lucelia,VEN,10.0,27.99,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Qualification,2007-05-01,/api/v1/category_rounds/613/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Qualification.csv,2007/2007-05-01_Trento_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Zampar Cassandra,ITA,11.0,29.53,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Qualification,2007-05-01,/api/v1/category_rounds/613/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Qualification.csv,2007/2007-05-01_Trento_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Karesova Eliska,CZE,12.0,31.16,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Qualification,2007-05-01,/api/v1/category_rounds/613/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Qualification.csv,2007/2007-05-01_Trento_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Stenkovaya Anna,RUS,3.0,23.26,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Final,2007-05-01,/api/v1/category_rounds/614/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Final.csv,2007/2007-05-01_Trento_Speed_Women_Final.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Ruyga Tatiana,RUS,2.0,23.84,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Final,2007-05-01,/api/v1/category_rounds/614/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Final.csv,2007/2007-05-01_Trento_Speed_Women_Final.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
Da Silva Rosmery,VEN,1.0,23.01,IFSC Climbing Worldcup (S) - Trento (ITA) 2007,472,2007,Trento,Speed,Women,Final,2007-05-01,/api/v1/category_rounds/614/results,/api/v1/events/472/result/6,,,,,,,,,,,2007-05-01_Trento_Speed_Women_Final.csv,2007/2007-05-01_Trento_Speed_Women_Final.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Score_2007-2008
