name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Mohd Nasran Shareen,MAS,49.0,34.7,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Qualification,2025-04-18,/api/v1/category_rounds/9382/results,/api/v1/events/1405/result/7,2,2,X,3,X,X,X,X,X,X,"2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Kempf Lea,AUT,17.0,29.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,4,X,2,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Yokoyama Sofya,SUI,17.0,29.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,2,X,4,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Calliet Agathe,FRA,17.0,29.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,4,X,2,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Stasiuk Maya,AUS,17.0,29.6,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,2,X,4,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Ito Futaba,JPN,21.0,29.5,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,5,X,2,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Copar Sara,SLO,22.0,29.4,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,2,X,4,X,3,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Peetermans Zoe,GBR,23.0,29.3,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,2,X,1,X,7,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Clark Adriene Akiko,USA,24.0,28.9,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,5,X,8,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Zhang Yuetong,CHN,11.0,29.8,IFSC World Cup Keqiao 2025,1405,2025,"Keqiao, CHN",Boulder,Women,Semi-final,2025-04-18,/api/v1/category_rounds/9954/results,/api/v1/events/1405/result/7,X,1,X,2,X,2,X,X,,,"2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv","2025/2025-04-18_Keqiao, CHN_Boulder_Women_Semi-final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
