name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
DU LAC Daniel,FRA,15.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Didion Loic,FRA,17.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Bindhammer Christian,GER,18.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Dutray Mathieu,FRA,19.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Bindhammer Andreas,GER,16.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Martin Jesus,FRA,25.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Jeandenand Damien,FRA,14.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Lopez David,ESP,20.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Manzanedo César Ciudad,ESP,22.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Suarez Carlos,ESP,23.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Men,,1999-07-02,,/api/v1/events/199/result/3,,,,,,,,,,,1999-07-02_Benasque_Boulder_Men_no-round.csv,1999/1999-07-02_Benasque_Boulder_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
