name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Prokopiuk Monika,POL,11.0,40.47,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Bud Gusaim Oleksandra,UKR,12.0,40.71,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Buczek Klaudia,POL,5.0,37.67,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Wicha Katarzyna,,14.0,42.58,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,42.58,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Ropek Edyta,,2.0,FALL,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,30.07,True,32.409,True,28.56,False,FALL,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Maneva Radiana,BUL,19.0,58.53,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Stenkovaya Anna,,1.0,32.80,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,31.93,True,30.94,True,27.33,True,32.8,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Boyarskikh  Ekaterina,RUS,13.0,45.23,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Tuzhylina Svitlana,,3.0,29.17,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,35.38,True,29.99,False,30.18,,,True,29.17,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Buczek Klaudia,,4.0,32.92,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,38.94,True,33.4,False,34.35,,,False,32.92,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
