name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Gut Heinz,SUI,31.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Coroller Frédéric,FRA,17.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Raboutou Didier,FRA,10.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Moon Ben,GBR,10.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Köstermeyer Guido,GER,10.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Hudecek Jindrich,CZE,10.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Godoffe Jacky,FRA,10.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Cortijo Robert,FRA,10.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Ivorra Marc,FRA,18.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Cabaret Jean,FRA,10.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Karn Jim,USA,7.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Glowacz Stefan,GER,7.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Lombard François,FRA,5.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
Arocena Patxi,ESP,5.0,,UIAA Worldcup - Wien 1991,100,1991,Wien,Lead,Men,,1991-04-25,,/api/v1/events/100/result/1,,,,,,,,,,,1991-04-25_Wien_Lead_Men_no-round.csv,1991/1991-04-25_Wien_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Lead_UIAA_Legacy_1991-2006
