name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Komondi Csaba,HUN,10.0,26.660,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Komosinski Jedrzej,POL,9.0,26.400,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Osipov Maksym,UKR,8.0,26.100,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Pociecha Jakub,POL,7.0,25.890,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Swirk Lukasz,POL,6.0,25.170,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Nigmanov Zufar,RUS,15.0,29.090,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Oleksy Tomasz,POL,4.0,24.480,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Qualification,2009-04-18,/api/v1/category_rounds/1127/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Men_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Styenkovyy Maksym,,3.0,2.00,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,21.72,True,20.71,False,19.61,,,True,2.0,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Abdrakhmanov Sergey,,4.0,FALL,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,22.22,True,22.82,False,21.24,,,False,FALL,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Komosinski Jedrzej,,5.0,20.40,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,21.62,False,20.4,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
