name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Sutkina Svetlana,RUS,2.0,,UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Women,,1993-04-01,,/api/v1/events/124/result/6,,,,,,,,,,,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993/1993-04-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Kleonova Marina,RUS,3.0,,UIAA Worldcup - Frankfurt 1993,124,1993,Frankfurt,Speed,Women,,1993-04-01,,/api/v1/events/124/result/6,,,,,,,,,,,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993-04-01_Frankfurt_Speed_Women_no-round.csv,1993/1993-04-01_Frankfurt_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Mogi Eriko,JPN,9.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Winkler Susan,GER,5.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Perlova Nataliya,UKR,5.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Panfyorova Margarita,UKR,5.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Craciun-Pantis Mihaela,ROU,5.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Inozemtseva Yulia,RUS,4.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Piszczek Renata,POL,3.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Dorsimond Isabelle,BEL,2.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
