name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Morandi Sara,ITA,26.0,4t4 4b4,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Bariani Irene,ITA,27.0,4t5 5b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Seguy Audrey,GBR,28.0,4t5 4b4,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Zijlstra Vera,NED,28.0,4t5 4b4,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Kodzik Aleksandra,POL,30.0,3t5 4b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Ropek Edyta,POL,25.0,4t4 5b5,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Wurm Juliane,GER,23.0,5t7 5b7,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Hodann Anja,SWE,19.0,5t6 6b7,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Marchisio Stella,ITA,22.0,5t7 5b6,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
Kudrova Nelly,CZE,21.0,5t6 5b6,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,468,2007,Erlangen,Boulder,Women,Qualification,2007-03-30,/api/v1/category_rounds/591/results,/api/v1/events/468/result/7,,,,,,,,,,,2007-03-30_Erlangen_Boulder_Women_Qualification.csv,2007/2007-03-30_Erlangen_Boulder_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_IFSC_ZoneTop_2007-2024
