name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Schalck Mejdi,FRA,6.0,44.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Final,2025-06-25,/api/v1/category_rounds/10121/results,/api/v1/events/1412/result/3,X,2,X,5,3,2,X,X,,,"2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Lee Dohyun,KOR,5.0,44.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Final,2025-06-25,/api/v1/category_rounds/10121/results,/api/v1/events/1412/result/3,X,1,1,1,X,2,X,X,,,"2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Milne Maximillian,GBR,4.0,54.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Final,2025-06-25,/api/v1/category_rounds/10121/results,/api/v1/events/1412/result/3,X,1,X,3,3,3,X,2,,,"2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Van Duysen Hannes,BEL,3.0,54.6,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Final,2025-06-25,/api/v1/category_rounds/10121/results,/api/v1/events/1412/result/3,X,1,X,1,5,5,X,1,,,"2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Final.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Valsamidis Matthaios,GRE,93.0,9.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,3,X,X,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Guðlaugsson Gunnar Egill,ISL,93.0,9.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,X,X,4,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Boque Biscayart Jeronimo,ARG,97.0,9.6,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,X,X,5,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Puerta Wong Kenu,PER,98.0,0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,X,X,X,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Babilas Meritas,LTU,98.0,0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,X,X,X,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
Garakani Mohammad,IRI,98.0,0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,X,X,X,X,X,X,X,"2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv","2025/2025-06-25_Innsbruck, AUT_Boulder_Men_Qualification.csv",,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Boulder_IFSC_AddedPoints_2025-2025
