name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Marchisio Stella,ITA,7.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Levet Sandrine,FRA,2.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Martin Sancho Berta,ESP,14.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Heurteaux Sophie,FRA,13.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Bell Claire,GBR,12.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Nilsson Ingela,SWE,11.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Marti Nuria,ESP,10.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Savic Romana,SLO,9.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Minoret Chloé,FRA,8.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
Bereciartu Urruzola Josune,ESP,1.0,,UIAA Worldcup - Benasque (ESP) 1999,199,1999,Benasque,Boulder,Women,,1999-07-02,,/api/v1/events/199/result/7,,,,,,,,,,,1999-07-02_Benasque_Boulder_Women_no-round.csv,1999/1999-07-02_Benasque_Boulder_Women_no-round.csv,,,,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Boulder_UIAA_Legacy_1991-2006
