name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Cherniavska Yevheniia,UKR,25.0,24.7,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,25+,18+
Bestvater Alma,GER,26.0,25.48,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,22,26+
Hönig Afra,GER,27.0,26.19,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,24+,24+
Kalucka Aleksandra,POL,28.0,26.66,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,21,26+
Bulenová Eliška,CZE,29.0,27.5,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,21+,25+
Lavrykova Yelyzaveta,UKR,30.0,29.98,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,19,21
Chudziak Patrycja,POL,31.0,30.25,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,20,18+
Brozek Anna,POL,32.0,32.0,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,11+,17+
Klingler Petra,SUI,,DNS,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,DNS,DNS
Miroslaw Aleksandra,POL,,DNS,"IFSC Europe - Continental Championships (B,S,L,C) - Moscow (RUS) 2020",1166,2020,Moscow,Lead,Women,Qualification,2020-11-21,/api/v1/category_rounds/6011/results,/api/v1/events/1166/result/5,DNS,DNS
