name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Hafsaas Tina Johnsen,NOR,23,43+ 17. | 34 20. [19.67],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,43+,34,2018-10-27_Xiamen_Lead_Women_Qualification.csv
XIANG HongChun,CHN,24,37 25. | 36+ 16. [20.00],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,37,36+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Tsyganova Anna,RUS,25,38+ 23. | 31+ 25. [24.24],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,38+,31+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Lin Hsiu-Ju,TPE,26,38+ 23. | 28+ 26. [24.72],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,38+,28+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Jaubert Anouck,FRA,27,35 27. | 25 28. [27.75],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,35,25,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Palmer Emma,USA,28,35+ 26. | 23 30. [27.93],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,35+,23,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Frangos Rebecca,CAN,29,34+ 29. | 27+ 27. [27.98],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,34+,27+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Wulff Thea,USA,30,28+ 30. | 24+ 29. [29.50],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,28+,24+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Wong  Ka-yan,HKG,31,21+ 31. | 22+ 31. [31.00],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,21+,22+,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Hare Isabelle,AUS,32,18+ 32. | 9 32. [32.00],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,18+,9,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Chudziak Patrycja,POL,33,4+ 33. [33.74],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,4+,,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Buczek Klaudia,POL,34,9 33. [33.99],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,9,,2018-10-27_Xiamen_Lead_Women_Qualification.csv
Brozek Anna,POL,35,4 34. [34.25],"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018 ",1060,2018,Xiamen,Lead,Women,Qualification,2018-10-27,/api/v1/category_rounds/5020/results,/api/v1/events/1060/result/5,4,,2018-10-27_Xiamen_Lead_Women_Qualification.csv
