name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Marschner Kim,GER,10,1T3z 3 10,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,X,X,1,X,8,X,X,3,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Takata Tomoaki,JPN,10,2T4z 4 13,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,1,2,2,X,9,2,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Farrell Thomas,AUS,11,1T3z 3 13,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,X,3,1,X,5,X,X,X,7,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Sharafutdinov Dmitrii,RUS,11,2T4z 5 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,2,2,2,X,2,3,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Ishimatsu Taisei,JPN,12,0T4z 0 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,1,X,1,X,2,X,X,X,2,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Lightner Kai,USA,12,2T4z 6 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,4,1,2,1,X,X,X,1,X,3,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Ogata Yoshiyuki,JPN,12,0T4z 0 6,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,3,X,1,X,1,X,X,X,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Coleman Nathaniel,USA,13,2T4z 9 15,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,5,7,3,X,6,2,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Kitae YUYA,JPN,14,2T3z 3 5,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,1,1,X,3,X,X,2,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Watabe Keita,JPN,14,0T4z 0 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,1,X,1,X,4,X,X,X,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Bombardi Marcello,ITA,15,0T4z 0 8,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,2,X,1,X,4,X,X,X,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Higuchi Masahiro,JPN,15,2T3z 3 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,4,2,2,X,X,1,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Vezonik Gregor,SLO,16,2T3z 5 5,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,2,2,2,X,X,3,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Watanabe Kaito,JPN,16,0T4z 0 11,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,3,X,1,X,6,X,X,X,1,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Heiniger Kevin,SUI,17,0T4z 0 12,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,3,X,2,X,4,X,X,X,3,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Kameyama Ryohei,JPN,17,2T3z 6 3,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,1,3,1,X,X,3,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Chan Cheung-chi Shoji,HKG,18,0T4z 0 14,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,4,X,2,X,3,X,X,X,5,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Levier Alban,FRA,18,2T3z 7 3,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,3,1,X,1,X,X,4,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Averdunk Alexander,GER,19,0T3z 0 3,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,1,X,1,X,1,X,X,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Hada Yuki,JPN,19,2T3z 7 7,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,1,5,5,X,X,2,1,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
Dohi Keita,JPN,20,2T3z 9 5,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,1051,2018,Tokyo,Boulder,Men,Qualification,2018-06-02,/api/v1/category_rounds/4955/results,/api/v1/events/1051/result/3,X,1,4,2,X,X,5,2,X,X,2018-06-02_Tokyo_Boulder_Men_Qualification.csv
