name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
CONTRERAS Alejandra,CHI,66,61.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,18,23+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
CASTILLO Lianet,VEN,67,64.34,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,21+,20+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
TAYLOR AINSLIE Caiya,CAN,68,64.48,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,21,21+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
WONG Hei Kiu Heidi,HKG,69,67.97,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,13+,21+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
WONG Tseng-Shun,HKG,70,69.97,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,17+,9,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
ESTRADA María José,MEX,71,71.48,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,12+,19,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
PEHLIVAN Melis,TUR,72,71.99,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,12+,15+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
DE LA VEGA Mariam,MEX,73,73.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,12+,8+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
CHEN CHEN Melissa Esther,PER,74,73.99,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,12+,6+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
VALSAMIDI Danai,GRE,74,73.99,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,12+,6+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
LEI Si Wan,MAC,76,75.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,11+,6+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
