name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
LONG Jianguo,CHN,1,4.78,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.788,4.919,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
MAIMURATOV Amir,KAZ,2,4.89,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.894,5.037,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
WATSON Samuel,USA,3,4.90,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.901,4.924,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
HAMMER Zach,USA,4,4.91,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.914,4.945,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
KATIBIN Kiromal,INA,5,4.93,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.936,4.933,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
OMASA Ryo,JPN,6,4.95,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.031,4.951,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
NURSAMSA Raharjati,INA,7,4.98,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.133,4.984,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
KHAIBULLIN Rishat,KAZ,8,5.03,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.088,5.036,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
LI Xu,CHN,9,5.051,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.107,5.051,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
NOYA CARDONA Erik,ESP,10,5.057,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.156,5.057,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
REBREYEND Pierre,FRA,11,5.082,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.172,5.082,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
ZURLONI Matteo,ITA,12,5.083,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,6.917,5.083,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
ZODDA Gian Luca,ITA,13,5.084,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.084,5.2,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
CARMANNS Leander,GER,14,5.089,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.089,DNF,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
CHU Shouhong,CHN,15,5.093,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.289,5.093,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
FOSSALI Ludovico,ITA,16,5.094,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.133,5.094,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
YANG Jie,CHN,17,5.098,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.098,8.358,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
MORO Guillaume,FRA,18,5.106,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.106,5.162,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
TKACH Yaroslav,UKR,19,5.107,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,DNF,5.107,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
LEONARDO Veddriq,INA,20,5.11,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.732,5.112,"2025-07-11_Chamonix, FRA_Speed_Men_Qualification.csv"
