name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B,source_file
JO Jinyong,KOR,39,5.513,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.513,6.977,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
SZALECKI Oskar,POL,40,5.56,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.565,5.752,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
LEE Yongsu,KOR,41,5.58,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,5.58,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
BRATSCHI Noah,USA,42,5.597,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,5.597,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
LE Dylan,CAN,43,5.598,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.767,5.598,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
ALIPOURSHENAZANDIFARD Milad,IRI,44,5.62,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.626,DNF,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
BRUYNS Joshua,RSA,45,5.63 (AfR),IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,5.631,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
BADER Linus,GER,46,5.64,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.641,DNF,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
MURAT Alisher,KAZ,47,5.79,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.793,5.995,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
BARTON Hayden,AUS,48,5.81,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.816,5.986,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
WINDISCHER Lukas,AUT,49,6.033,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,7.726,6.033,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
ABU ERGEEB Nasser,KUW,50,6.038,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,6.506,6.038,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
