name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
VIGHETTI Gianluca,ITA,64,62.66,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,24+,17+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
HOFHERR Johannes,AUT,68,64.34,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,21,20,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
DORVAL Hugo,CAN,69,65.12,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,18+,25+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
MYRONENKO Mykyta,UKR,70,66.25,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,19,23+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
LAPORTE Corentin,BEL,71,66.6,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,24+,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
AU Chi-Fung,HKG,72,66.64,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,20+,19+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
CHAN Cheung-Chi Shoji,HKG,73,67.73,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,24,17,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
AVEZOU Leo,FRA,74,67.97,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,19,20,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
KIROV Slav,BUL,75,69.29,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,,28+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
MAIKOTOV Azat,KAZ,76,71.98,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,22+,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
LOK Wan Tong,MAC,77,72.79,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,21+,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
VARGAS Benjamin,CHI,78,74.57,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,18+,17+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
Kern Gabriel,SWE,79,75.18,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,20,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
INTRACHUPONGSE Ardch,THA,80,79.25,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,18+,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
O'NEILL Michael,IRL,81,79.66,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,21+,10,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
FARKAS Tamás,HUN,82,81.41,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,20+,10,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
CARVALHO PERES Davi,BRA,83,81.69,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,17+,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
KAĞANOĞLU Muhammed Oğuz,TUR,84,83.11,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,17,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
VALSAMIDIS Matthaios,GRE,85,84.22,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,18,13+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
PEREZ Asael,VEN,86,84.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,17+,15,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
Kathan Matthäus,AUT,87,85.67,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,12+,16+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
ELORANTA Toivo,FIN,88,86.91,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,13,15+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
BOQUE BISCAYART Jeronimo,ARG,89,87.22,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,17+,13,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
SISKAUSKAS Kasparas,LTU,90,87.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,16+,13+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
ZEIMES Jim,LUX,91,88.23,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,16,13+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
LEI Chon Hou,MAC,92,88.43,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,17+,10+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
WESTMAN Luke,RSA,93,89.93,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,12+,13+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
SCANLON Ciarán,IRL,94,90.33,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,17+,9,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
TALVISALMI Hugo,FIN,95,91.48,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,12+,13,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
GUÐLAUGSSON Gunnar Egill,ISL,96,92.24,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,12+,11,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
ONYANGO Emmanuel,UGA,97,96.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,3+,3,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
